date,Brahmanbaria,Satkhira,Chittagong,Magura,Kushtia,Chandpur,Panchagarh,Mymensingh,Nilphamari,Narail,Gopalganj,Manikganj,Unknown,Meherpur,Feni,Noakhali,Barguna,Gazipur,Pirojpur,Jamalpur,Dhaka,Natore,Chuadanga,Madaripur,Jaipurhat,Bogra,Cox's Bazar,Rangpur,Sunamganj,Naogaon,Narsingdi,Bhola,Comilla,Khagrachhari,Rajbari,Dinajpur,Faridpur,Sylhet,Chapainawabganj,Rajshahi,Munshiganj,Pabna,Sherpur,Rangamati,Thakurgaon,Habiganj,Sirajganj,Netrokona,Jhenaidah,Tangail,Bagerhat,Barisal,Gaibandha,Kishoreganj,Pabna Police line,Bandarban,Kurigram,Shariatpur,Lalmonirhat,Lakshmipur,Narayanganj,Jessore,Maulvibazar,Khulna,Jhalokati,Patuakhali
2020-04-03,1,1,5,0,0,0,0,3,2,0,0,1,0,0,1,3,0,6,0,0,63,1,0,1,1,1,1,4,1,0,0,0,3,0,1,1,0,3,1,1,0,2,0,0,0,3,2,1,0,1,0,1,0,1,0,0,0,0,0,2,9,0,2,3,0,0
2020-04-04,0,1,24,0,2,2,1,6,0,0,0,0,0,0,4,1,0,4,0,2,125,0,5,0,1,3,2,4,0,2,4,1,7,0,1,3,0,0,0,3,6,3,1,0,8,3,1,5,0,3,1,0,2,1,0,0,1,0,0,2,25,3,2,0,0,1
2020-04-05,3,3,26,0,2,1,0,5,1,2,0,1,0,7,5,3,0,1,0,2,158,0,1,1,0,3,3,2,3,6,4,1,3,1,0,4,0,3,2,4,3,1,1,0,0,0,0,0,0,9,2,4,2,5,0,0,1,0,0,1,9,4,0,6,0,0
2020-04-06,4,0,41,0,1,3,0,5,2,0,1,5,0,0,5,3,0,17,5,11,416,1,0,4,3,5,3,4,3,3,5,1,12,1,0,0,3,9,1,9,2,3,1,0,3,1,3,2,10,6,0,10,6,2,0,0,0,4,1,0,30,14,2,22,0,0
2020-04-07,0,1,3,0,1,2,0,0,0,0,1,1,0,1,0,3,0,5,1,0,70,1,0,2,0,1,6,6,0,0,1,1,5,0,0,5,4,4,0,3,1,1,1,1,1,0,1,0,1,2,0,2,0,1,0,0,0,2,0,0,10,5,0,3,0,3
2020-04-08,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,1,0,0,1,8,0,0,0,1,0,2,0,0,0,0,2,0,3,1,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,6,2,0,2,0,0
2020-04-09,0,1,6,0,0,2,0,4,0,0,0,3,0,1,1,2,0,1,0,0,59,0,0,0,1,1,2,4,0,2,3,1,1,1,0,1,1,1,1,2,0,0,1,0,1,0,2,0,1,1,0,1,0,0,0,0,0,2,0,0,6,2,0,2,3,0
2020-04-10,1,0,3,0,1,3,0,7,0,1,0,1,170,0,0,0,0,2,0,0,47,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,3,0,0,0,1,2,1,0,0,1,1,0,0,4,2,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0
2020-04-11,0,2,9,1,0,0,0,0,0,0,0,0,362,0,2,0,0,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
2020-04-12,0,0,4,0,0,0,0,2,0,0,0,0,272,0,1,1,0,1,0,0,19,0,0,1,0,1,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0
