date,Brahmanbaria,Satkhira,Chittagong,Magura,Kushtia,Chandpur,Panchagarh,Mymensingh,Nilphamari,Narail,Gopalganj,Manikganj,Unknown,Meherpur,Feni,Noakhali,Barguna,Gazipur,Pirojpur,Jamalpur,Dhaka,Natore,Chuadanga,Madaripur,Jaipurhat,Bogra,Cox's Bazar,Narsingdi,Rangpur,Naogaon,Sunamganj,Bhola,Comilla,Khagrachhari,Rajbari,Dinajpur,Faridpur,Sylhet,Chapainawabganj,Rajshahi,Munshiganj,Pabna,Sherpur,Rangamati,Thakurgaon,Habiganj,Sirajganj,Jhenaidah,Netrokona,Bagerhat,Tangail,Barisal,Gaibandha,Kishoreganj,Bandarban,Shariatpur,Kurigram,Lalmonirhat,Lakshmipur,Narayanganj,Jessore,Maulvibazar,Khulna,Jhalokati,Patuakhali
2020-04-03,4,0,17,5,0,2,3,2,0,0,0,1,0,0,1,4,1,14,0,0,124,2,0,7,1,4,5,4,1,0,0,0,8,0,1,1,0,4,1,1,1,3,3,0,1,3,0,3,0,1,2,1,3,4,0,1,0,0,0,9,0,0,5,0,3
2020-04-04,7,3,38,0,9,4,1,8,4,0,0,1,0,1,11,9,0,6,6,4,249,4,2,4,2,5,6,11,8,6,1,2,15,3,4,4,1,6,1,2,2,8,3,1,4,7,13,1,5,0,10,10,7,3,0,0,1,0,4,51,12,7,7,0,0
2020-04-05,7,3,42,3,2,9,3,14,1,0,5,6,0,1,1,9,2,29,0,7,278,1,2,5,2,8,14,8,3,3,1,2,22,2,2,3,2,21,4,11,8,6,1,0,2,1,3,0,7,3,10,5,7,2,0,0,0,0,2,29,7,2,10,3,9
2020-04-06,21,16,63,3,5,6,0,20,3,5,6,7,0,3,16,15,2,39,3,13,604,4,5,1,2,21,8,7,13,1,5,1,20,2,1,6,10,16,3,10,3,11,4,0,2,1,11,6,8,0,5,18,3,4,7,9,4,1,2,51,14,6,25,1,5
2020-04-07,0,0,21,2,1,1,1,2,4,2,1,3,0,2,1,3,0,14,1,1,174,1,0,1,0,3,9,4,4,3,1,0,6,0,0,2,3,7,0,5,7,8,0,2,0,1,3,1,2,1,2,7,1,1,0,1,1,0,3,10,7,0,5,0,2
2020-04-08,1,0,6,0,1,1,0,4,0,0,0,0,0,0,1,0,1,11,0,0,355,5,0,1,0,5,1,0,0,0,0,0,2,0,0,0,1,1,0,1,0,0,2,1,0,0,0,0,2,0,2,3,1,2,0,2,0,0,0,2,0,0,0,0,0
2020-04-09,0,1,20,0,1,5,1,3,2,0,1,4,0,0,2,3,1,3,3,2,124,5,2,2,2,5,1,5,5,3,0,0,5,2,0,3,2,3,1,3,4,3,1,0,1,5,4,4,2,0,18,2,5,4,0,2,0,0,1,17,3,0,8,3,1
2020-04-10,1,0,6,0,2,6,0,4,0,1,0,0,268,0,3,0,0,4,0,0,78,3,1,0,0,5,5,6,5,1,0,0,1,4,0,1,3,0,1,2,2,4,1,1,0,2,0,0,3,2,8,1,0,4,1,1,1,0,0,2,3,1,4,2,0
2020-04-11,0,1,14,0,2,2,0,0,0,1,0,0,631,0,0,2,0,2,0,0,55,1,0,0,1,0,0,3,0,1,1,0,3,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,1,17,2,1,1,0,1
2020-04-12,1,1,10,2,1,2,0,0,1,0,1,0,583,0,0,1,0,6,1,0,37,0,0,2,0,7,0,0,2,2,0,3,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,2,0,0,1,0,2,11,0,2,2,0,0
2020-04-13,2,0,7,0,0,2,1,1,0,0,0,2,482,0,1,1,0,1,0,1,50,0,1,0,0,1,0,4,6,1,0,0,3,0,0,0,0,2,0,1,1,1,1,0,0,0,2,2,2,2,0,0,2,0,0,1,0,0,0,7,0,0,1,0,0
2020-04-14,0,2,4,1,0,0,0,3,0,0,1,1,455,0,0,1,0,4,0,2,39,0,0,0,0,0,0,0,1,5,0,0,6,2,1,0,0,1,0,1,0,1,0,0,0,0,1,9,0,0,1,3,0,2,0,0,0,0,0,7,1,0,1,0,2
2020-04-15,0,3,3,2,3,1,0,1,6,0,1,0,488,0,0,1,0,5,0,1,44,0,0,0,0,4,0,2,1,1,0,0,3,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,2,2,12,0,1,0,0,0,5,1,0,0,0,0
2020-04-16,1,1,1,0,0,0,0,5,0,0,1,1,236,0,0,1,0,3,0,0,37,0,0,0,0,1,1,3,1,0,0,0,1,0,0,0,4,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,3,0,1,2,0,0
2020-04-17,2,0,13,0,0,2,0,2,0,2,0,1,389,0,0,0,0,7,0,0,65,0,1,0,0,3,2,0,2,2,0,0,5,1,0,0,1,3,2,1,0,0,0,0,0,0,1,0,0,4,1,2,0,3,0,0,0,0,0,3,0,0,2,0,0
2020-04-18,0,0,6,0,2,0,0,2,2,0,0,0,358,0,2,1,0,1,1,0,51,1,0,0,0,1,2,0,3,2,0,0,1,0,0,2,1,2,0,2,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,7,0,0,2,0,0
2020-04-19,1,2,7,0,0,0,0,0,0,0,0,1,288,0,0,0,0,5,2,1,47,0,0,0,0,2,1,1,4,2,0,0,2,0,0,2,1,2,0,0,1,0,0,0,3,0,1,0,0,2,2,1,0,0,0,0,0,0,1,4,1,0,0,0,1
2020-04-20,0,0,15,0,0,4,0,3,0,0,0,1,473,0,1,0,0,10,0,1,80,0,1,0,0,4,2,0,2,1,0,0,10,0,0,3,1,2,1,2,1,1,4,0,0,0,1,1,1,1,2,1,0,1,0,0,0,1,0,10,0,1,2,0,0
2020-04-21,1,0,6,0,0,2,0,8,0,0,0,0,577,0,2,4,1,15,0,2,81,0,0,5,1,1,2,3,1,2,0,0,2,0,0,1,1,9,1,2,1,3,0,1,0,0,1,1,0,1,8,0,0,5,0,0,0,1,0,6,1,1,0,0,2
2020-04-22,1,0,18,0,4,1,0,8,0,0,0,0,507,1,1,1,6,2,0,1,66,1,6,1,0,8,0,1,1,0,1,0,2,0,0,2,0,1,0,1,2,0,0,0,1,2,1,0,1,1,2,2,0,7,0,1,0,1,0,9,4,0,6,0,0
2020-04-23,1,0,9,0,2,1,0,3,0,0,2,0,383,0,1,2,0,17,0,3,57,0,0,0,0,7,2,1,4,1,0,0,2,0,0,4,1,6,1,3,2,0,0,0,0,0,1,1,0,0,4,1,0,2,0,0,2,0,1,6,1,0,2,0,0
2020-04-24,0,0,12,0,1,3,1,3,0,0,0,0,487,3,0,5,0,6,1,1,58,1,2,5,0,2,7,0,1,0,1,0,5,0,0,1,1,2,4,2,1,4,2,0,0,0,3,2,0,3,2,5,4,4,1,0,0,0,0,0,3,1,0,0,0
2020-04-25,0,0,4,1,0,2,1,1,0,1,0,1,337,0,0,1,0,4,0,0,43,0,0,0,1,2,3,2,3,0,0,0,5,0,0,2,1,5,1,1,0,5,0,0,1,0,2,0,0,1,5,1,0,0,0,0,0,1,0,8,0,0,1,0,0
2020-04-26,0,0,5,0,8,1,0,5,0,1,0,0,271,0,2,1,0,2,1,2,39,0,0,2,0,1,0,2,1,1,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,1,1,1,3,0,1,0,1,0,0,0,0,0,1,0,0,1,0,2
2020-04-27,1,0,3,0,0,1,0,3,0,0,1,0,298,0,1,1,0,4,1,2,52,1,0,0,0,3,0,0,3,1,0,0,1,1,2,1,0,0,0,0,5,3,1,0,0,1,0,1,1,1,5,2,0,1,0,4,0,1,0,3,3,0,0,0,0
2020-04-28,0,0,8,0,1,0,0,0,0,1,0,0,224,0,0,0,0,3,0,1,43,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1
2020-04-29,0,0,8,0,2,2,0,1,0,0,0,0,229,1,3,1,0,1,0,4,41,2,0,0,0,5,0,0,1,0,0,2,6,0,0,0,3,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,0,0
2020-04-30,0,0,6,0,0,2,0,0,0,0,0,1,263,0,2,0,0,6,1,0,54,1,1,1,0,3,0,0,1,0,0,0,0,0,0,2,0,0,1,2,0,2,1,2,2,1,0,0,2,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0
2020-05-01,0,0,6,1,0,1,0,3,0,0,1,0,269,0,0,4,0,4,0,0,55,0,1,0,0,0,0,2,1,2,0,0,2,0,0,0,0,2,0,1,3,3,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,7,1,0,1,0,0
2020-05-02,1,0,2,0,0,1,0,2,1,0,1,0,475,1,2,0,0,5,1,0,57,0,0,1,0,4,0,0,0,4,0,3,2,0,0,2,1,3,0,0,0,0,0,0,0,0,1,3,0,1,0,1,0,1,0,1,0,0,1,2,1,0,0,0,0
2020-05-03,0,1,6,0,3,0,0,0,0,0,1,0,257,0,0,3,0,4,1,1,28,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0
2020-05-04,1,0,1,0,0,0,1,1,0,0,0,1,202,0,1,2,0,1,0,2,63,0,1,0,0,1,4,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,2,0,2,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0
2020-05-05,2,1,4,1,0,0,0,4,0,2,0,0,150,0,1,1,0,3,1,1,41,0,0,0,0,0,0,1,2,1,0,0,2,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,3,0,0,2,0,0,0,0,0,0,1,3,1,0,1,0,0
2020-05-06,3,0,9,0,1,0,0,0,1,0,0,0,183,0,0,0,0,2,0,1,62,0,0,0,0,0,0,2,1,2,0,0,0,0,0,4,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,3,2,0,3,0,0
2020-05-07,0,0,6,0,2,1,0,0,0,0,2,0,183,1,3,2,0,5,0,0,35,0,0,0,0,2,4,2,0,0,0,0,0,2,0,3,0,0,0,0,2,2,0,0,1,1,2,0,0,1,1,1,0,0,1,0,1,0,1,3,0,0,1,1,0
2020-05-08,0,0,4,1,0,1,0,1,0,0,0,1,166,0,1,0,0,1,0,3,35,0,0,0,0,0,1,3,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,0,3,0,0,1,0,0
2020-05-09,0,0,1,1,2,1,0,0,0,0,0,2,126,0,4,1,0,2,0,0,35,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,2,0,2,0,0,0,0,0,1,1,1,1,0,0,2,1,0,0,0,0,0,0,6,0,0,0,0,0
2020-05-10,0,1,6,0,0,1,0,0,0,0,0,1,86,0,1,0,0,5,0,0,27,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,0,0
2020-05-11,0,0,4,0,0,3,1,1,1,0,0,0,139,0,0,0,0,4,0,0,43,0,0,0,0,0,0,1,3,0,0,0,1,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0
2020-05-12,0,0,4,0,0,1,0,1,0,0,0,0,149,0,3,2,0,5,0,0,36,1,2,0,0,0,0,0,1,2,1,0,3,0,1,0,0,3,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1
2020-05-13,1,0,9,0,1,0,0,1,0,0,0,1,109,0,0,2,1,3,0,1,36,0,0,1,0,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,2,0,1,0,1,1,0,0,3,0,0,0,0,0
2020-05-14,3,0,0,1,1,4,0,1,0,0,0,0,161,0,0,0,0,4,0,1,31,0,2,0,0,1,0,2,3,0,0,0,3,0,0,0,1,5,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2020-05-15,0,2,3,0,0,0,0,0,0,0,0,0,115,0,0,4,0,4,0,0,35,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1
2020-05-16,0,0,12,0,0,0,0,2,0,0,0,0,175,0,3,4,0,6,0,0,35,0,0,1,1,3,0,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,1,3,0,0,2,0,0
2020-05-17,0,0,9,0,0,1,0,2,0,0,0,0,117,0,3,0,0,3,0,0,56,0,0,0,0,0,0,1,2,1,0,0,0,0,0,2,1,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,1,1,1,0,0
2020-05-18,1,1,7,0,0,4,1,1,0,0,0,0,131,0,0,1,1,0,0,0,40,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,6,0,0,0,0
2020-05-19,0,0,6,0,1,0,0,4,0,0,0,0,138,1,0,1,0,1,1,0,36,2,0,0,0,1,2,0,0,0,0,0,3,0,0,0,0,4,1,0,0,1,2,0,0,0,0,0,0,0,1,1,2,1,0,0,1,0,0,4,0,0,1,0,0
2020-05-20,0,1,13,0,0,2,0,0,0,0,0,0,145,0,2,1,0,5,0,0,44,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,1,1,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0
2020-05-21,0,0,2,0,0,3,1,0,0,1,1,1,304,0,5,0,0,13,0,2,65,2,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,1,9,0,1,1,0,1
2020-05-22,0,1,9,0,0,1,2,2,0,0,0,0,200,0,2,0,0,3,0,0,42,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,2,2,1,1,1,1,0,1,0,0,0,1,0,0,2,2,0,0,0,0,0,0,1,4,1,0,1,1,0
2020-05-23,0,0,10,0,1,3,0,0,0,0,1,0,182,0,0,0,0,3,0,0,57,0,0,0,1,0,0,4,1,1,1,0,2,0,1,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,1,3,0,0,0,1,0,0,0,0,0
2020-05-24,0,0,9,0,0,0,0,1,0,0,1,0,157,1,0,0,1,3,0,3,39,0,0,1,0,0,0,2,1,2,0,2,3,0,0,2,1,3,1,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2020-05-25,1,0,5,0,0,0,0,0,0,0,1,3,187,0,0,0,0,3,0,0,44,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,3,0,0,0,0,0
2020-05-26,0,0,3,0,0,0,0,1,0,0,0,1,184,0,0,2,0,5,0,0,75,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1,0,2,1,1,2,0,1,0,0,0,8,0,1,1,0,0
2020-05-27,1,1,16,1,0,2,0,1,1,0,0,0,243,0,2,1,0,15,0,1,60,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,2,0,1,2,1,0,0,1,0,2,0,0,0,2,1,0,2,0,0,0,0,0,1,0,1,2,0,0
2020-05-28,0,0,15,0,0,0,0,0,0,1,0,0,240,0,0,0,0,4,0,1,71,1,0,0,0,3,2,3,0,0,0,1,5,0,0,4,1,2,0,1,1,0,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0,0,0,3,2,1,0,0,0
2020-05-29,0,1,13,0,0,3,0,3,0,2,0,0,287,0,2,3,0,4,0,2,86,1,1,0,0,1,1,2,2,0,0,2,3,0,0,0,0,2,1,1,0,2,0,0,0,1,1,2,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0
2020-05-30,1,0,9,0,0,0,0,5,1,0,0,1,283,0,2,0,0,4,0,0,82,1,0,0,0,0,0,1,0,1,0,0,3,0,0,3,1,5,0,0,1,2,0,1,1,0,1,0,3,0,0,0,0,0,0,3,0,0,1,1,0,1,2,0,1
2020-05-31,0,0,9,0,0,4,0,0,0,0,0,0,304,0,0,0,0,8,1,0,81,0,0,1,0,0,3,0,1,1,0,0,5,0,2,0,0,5,0,0,2,0,0,0,0,0,1,0,1,0,2,0,1,2,0,0,1,0,0,2,1,0,0,1,0
2020-06-01,2,0,5,0,0,2,0,2,0,0,0,2,271,0,0,0,0,13,1,0,86,1,0,1,0,1,0,0,0,0,0,0,4,0,0,2,3,4,3,1,1,2,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,3,4,0,4,0,0,3
2020-06-02,0,0,16,1,0,1,0,3,0,0,0,0,297,0,1,0,0,7,0,0,58,0,0,1,0,1,1,0,0,0,0,0,3,0,0,1,0,6,2,1,0,1,2,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0
2020-06-03,1,0,14,0,1,1,0,0,0,0,1,0,294,0,1,0,0,6,1,0,74,0,1,0,1,2,1,0,4,1,0,0,8,0,1,2,4,2,0,0,2,1,0,0,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,4,0,1,3,0,4
2020-06-04,5,6,57,2,3,3,0,6,6,1,1,0,748,0,9,4,1,14,2,1,223,3,0,1,2,7,7,4,5,8,1,2,27,2,1,3,4,22,1,6,4,8,2,2,4,0,1,0,1,0,2,6,2,2,0,2,1,1,6,14,4,1,7,0,1
2020-06-05,5,2,155,0,8,13,0,28,5,0,4,3,1516,2,18,32,5,43,2,6,428,4,3,2,1,12,20,27,8,6,2,5,42,1,6,3,9,30,0,20,7,11,3,1,2,1,9,5,2,3,16,16,2,11,3,4,2,3,7,35,6,7,14,1,2
2020-06-06,7,3,95,2,2,11,1,10,5,1,2,2,1260,0,16,16,3,55,1,3,288,3,5,1,5,10,10,11,15,7,2,2,22,1,4,5,9,12,2,4,5,5,1,1,4,1,3,4,0,5,9,11,2,6,3,5,0,0,4,20,6,1,8,1,5
