date,Brahmanbaria,Satkhira,Chittagong,Magura,Kushtia,Chandpur,Panchagarh,Mymensingh,Nilphamari,Narail,Gopalganj,Manikganj,Unknown,Meherpur,Feni,Noakhali,Barguna,Gazipur,Pirojpur,Jamalpur,Dhaka,Natore,Chuadanga,Madaripur,Jaipurhat,Bogra,Narsingdi,Cox's Bazar,Rangpur,Naogaon,Sunamganj,Bhola,Comilla,Khagrachhari,Rajbari,Dinajpur,Faridpur,Sylhet,Chapainawabganj,Rajshahi,Munshiganj,Sherpur,Pabna,Rangamati,Thakurgaon,Habiganj,Sirajganj,Jhenaidah,Netrokona,Bagerhat,Tangail,Barisal,Gaibandha,Kishoreganj,Bandarban,Shariatpur,Kurigram,Lalmonirhat,Lakshmipur,Narayanganj,Jessore,Maulvibazar,Khulna,Jhalokati,Patuakhali
2020-04-03,2,0,8,0,0,2,2,1,1,0,0,0,0,0,0,3,0,6,0,0,51,1,0,2,0,8,2,0,0,0,0,1,3,0,0,2,0,0,0,0,0,3,0,0,0,2,3,1,1,1,3,0,0,2,0,2,0,0,0,11,0,0,1,0,1
2020-04-04,2,1,20,0,2,3,1,4,2,2,0,2,0,2,3,8,0,8,4,2,107,1,1,0,1,5,8,4,5,0,0,1,7,0,1,4,0,4,0,0,0,0,3,0,0,3,5,1,2,0,3,1,2,1,0,0,1,0,2,28,4,7,7,0,0
2020-04-05,6,2,17,0,5,5,1,5,0,0,2,2,0,0,4,9,0,13,0,7,135,0,1,1,0,6,6,8,1,2,1,8,14,0,2,2,2,6,2,2,2,1,1,0,0,1,2,1,6,2,3,3,2,0,0,0,0,0,0,16,6,0,5,1,0
2020-04-06,5,0,25,1,1,5,0,14,5,0,4,1,0,0,4,12,3,20,1,11,277,2,1,0,0,7,5,7,7,1,6,3,21,3,0,5,3,13,0,1,2,1,6,0,0,1,11,6,2,0,0,7,2,4,0,0,0,1,2,35,3,2,17,1,0
2020-04-07,1,0,14,1,0,2,1,0,3,0,0,3,0,0,3,1,0,9,2,1,73,1,0,1,0,5,1,0,2,1,1,2,6,0,2,0,2,3,0,4,1,0,3,0,0,1,5,0,3,0,2,2,1,0,0,0,0,0,1,6,3,1,4,0,0
2020-04-08,1,1,3,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,179,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0
2020-04-09,1,1,4,1,1,3,0,5,1,0,0,6,0,0,1,2,0,10,0,2,64,0,0,0,2,1,6,1,1,3,0,1,3,3,1,1,3,1,0,2,0,1,1,0,1,1,1,1,0,1,5,1,1,1,0,0,0,0,1,12,0,0,2,1,0
2020-04-10,1,1,3,0,1,2,0,3,0,0,0,1,137,0,3,2,0,2,0,0,36,1,0,0,0,1,5,0,2,0,0,0,0,0,0,1,3,0,0,1,0,2,0,0,1,0,0,0,0,1,3,1,0,1,1,0,0,0,0,1,0,1,0,0,0
2020-04-11,0,0,8,0,1,2,0,1,0,1,0,0,291,0,0,0,0,0,0,0,27,2,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,1,0,0,1,0,0,0,3,0,0,1,0,0
2020-04-12,1,0,6,0,0,0,0,4,0,0,1,0,353,0,0,0,0,2,0,0,25,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,1,1,1,0
2020-04-13,1,0,1,0,0,1,0,0,0,0,0,1,253,0,0,1,0,3,0,2,23,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0
2020-04-14,0,0,4,0,0,1,0,0,0,0,1,0,194,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,5,0,1,0,0,1
2020-04-15,0,0,12,1,0,0,0,0,0,0,0,2,192,0,2,2,0,1,2,1,12,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,5,1,0,0,0,0
2020-04-16,1,0,3,0,0,1,0,0,0,0,0,0,145,0,0,1,0,3,0,0,13,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
2020-04-17,1,0,8,0,0,2,0,0,2,0,0,1,196,0,2,0,0,2,0,0,20,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,2,0,0,0,0,2,0,0,0,1,0,0,1,2,1,0,1,0,0,0,0,0,7,0,0,1,0,0
2020-04-18,0,0,3,0,1,0,0,2,0,0,0,0,208,0,0,0,0,1,0,0,15,0,0,0,0,1,1,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,1,0,3,0,0
2020-04-19,0,0,1,0,4,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0
2020-04-20,0,0,2,0,1,0,0,2,0,0,0,0,228,0,0,1,0,4,1,1,30,1,0,0,0,1,0,0,1,0,0,0,3,0,0,1,0,2,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,11,0,1,1,0,0
2020-04-21,0,0,0,0,1,1,0,4,0,0,0,0,228,0,4,1,0,4,0,1,43,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,2,1,1,1,0,3,0,0,0,0,0,0,0,2,0,0,3,0,0,0,1,0,9,1,0,1,0,0
2020-04-22,0,0,7,0,0,1,0,2,0,0,0,0,224,0,2,0,2,6,0,1,45,0,5,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,3,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,2,0,1,2,0,1
2020-04-23,1,1,4,0,0,1,1,0,0,0,1,2,222,7,1,6,0,5,0,0,38,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,1,0,0
2020-04-24,0,0,2,0,1,0,0,0,0,0,0,0,244,3,1,0,0,6,2,0,26,1,2,0,0,4,1,3,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,3,0,0,0,3,1,0,4,0,1,0,0,1,1,4,1,1,0,0
2020-04-25,2,0,1,0,0,1,0,0,0,0,0,0,137,1,0,1,0,3,0,0,28,0,0,0,0,0,0,0,1,0,0,0,3,0,0,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,3,0,0,0,0,0,2,1,0,0,0,0
2020-04-26,1,0,1,0,1,3,1,0,0,0,1,0,173,0,0,1,0,2,0,0,26,1,0,1,0,2,0,3,0,0,0,1,2,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,3,1,0,0,0,1
2020-04-27,0,0,3,0,1,0,0,2,0,0,0,2,135,0,0,0,0,2,0,1,37,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,3,1,0,0,0,0
2020-04-28,0,0,7,0,0,0,0,0,0,0,0,0,121,0,0,0,0,1,0,0,33,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
2020-04-29,0,0,1,0,1,1,0,1,0,0,0,0,124,1,1,0,0,3,0,2,35,0,0,0,0,2,0,0,1,0,0,2,3,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0
2020-04-30,0,0,1,0,0,0,0,1,0,0,0,0,120,0,1,0,0,0,0,0,33,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0
2020-05-01,0,0,1,0,1,1,0,3,0,0,0,0,131,0,0,3,0,1,0,0,45,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2020-05-02,1,0,3,0,0,1,0,0,0,0,0,0,236,0,1,0,0,0,0,0,30,0,0,0,0,1,0,0,1,0,0,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,3,2,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2020-05-03,0,1,2,0,2,0,0,0,1,0,0,0,138,0,0,2,0,3,1,0,24,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0
2020-05-04,1,0,4,0,2,0,0,2,0,0,0,0,104,1,2,4,0,0,0,0,40,0,1,0,0,2,0,3,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,2,0,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0
2020-05-05,0,1,6,0,0,1,0,3,0,0,0,0,104,0,0,0,0,3,0,0,33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0
2020-05-06,2,0,5,0,0,1,0,4,0,0,0,0,116,0,0,0,0,0,0,0,43,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
2020-05-07,0,0,2,0,0,0,0,0,0,0,0,0,127,0,0,1,0,2,0,0,40,1,0,0,0,1,1,1,2,0,1,1,2,0,0,0,1,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0
2020-05-08,0,0,2,0,0,0,0,3,0,0,0,0,110,0,0,0,0,0,1,1,27,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,1,0,0
2020-05-09,0,0,0,0,0,0,0,0,0,0,0,2,86,0,1,1,0,6,1,0,28,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,1,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,0,0,1,0,0
2020-05-10,0,0,5,0,0,0,0,0,0,0,0,0,78,0,0,1,0,2,0,0,31,0,1,0,1,0,0,0,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,0,0,0,0
2020-05-11,0,0,5,0,0,1,0,2,1,0,0,0,97,0,0,0,0,3,0,0,32,1,0,0,0,0,1,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
2020-05-12,0,0,3,0,0,3,0,0,0,0,0,1,131,0,0,1,0,4,0,0,34,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,3,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,2,4,0,0,1
2020-05-13,0,0,8,0,0,0,0,1,0,0,0,0,109,0,0,2,1,2,0,1,44,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,2,0,0
2020-05-14,2,0,3,0,0,0,0,1,0,0,0,0,151,0,1,0,0,3,0,0,35,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
2020-05-15,0,2,4,0,0,0,0,2,0,0,2,2,123,0,0,0,0,6,0,0,40,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,4,0,0,0,0,0
2020-05-16,1,0,13,0,0,0,0,0,0,0,0,0,186,0,1,0,0,2,1,0,51,0,0,1,0,1,0,2,0,1,0,0,3,0,0,0,1,3,0,0,0,0,3,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,4,0,0,0,0,0
2020-05-17,0,0,9,0,0,0,0,0,0,0,0,0,169,0,2,0,0,11,0,0,62,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,1,0,0,1
2020-05-18,0,0,5,0,0,0,0,0,0,0,0,0,136,0,0,4,1,2,0,1,64,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1
2020-05-19,1,0,13,0,2,0,0,0,0,1,0,1,104,1,0,0,0,5,1,0,43,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,3,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,1,0,0
2020-05-20,0,0,19,1,0,0,0,0,0,0,0,1,154,0,0,1,0,2,1,0,40,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,0,0,1,0,0,0,0,4,0,0,1,0,0
2020-05-21,1,0,15,0,0,2,1,0,0,0,0,0,208,0,0,0,0,14,0,0,56,0,0,0,0,1,0,0,1,2,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,0,1,0,0,0
2020-05-22,1,0,13,0,0,0,2,1,0,0,0,0,199,0,0,1,0,3,0,0,53,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,3,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,2,0,0,0,0,1,4,1,0,1,0,0
2020-05-23,0,0,5,0,1,0,0,1,0,0,0,1,216,0,1,3,0,9,1,0,72,0,0,0,0,0,4,0,0,1,0,0,3,0,0,0,1,4,0,0,0,0,3,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,2,4,1,0,1,0,0
2020-05-24,0,0,8,0,0,0,0,1,1,0,0,0,175,1,0,0,1,7,0,0,52,0,0,1,0,0,1,0,0,0,1,0,2,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-05-25,0,0,19,0,0,0,0,0,0,0,1,3,209,0,1,1,0,6,0,0,71,0,0,0,0,1,4,2,0,0,0,0,3,0,0,0,0,4,0,2,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,7,0,1,0,0,0
2020-05-26,1,0,10,0,0,0,0,5,0,0,2,1,275,0,0,2,0,3,0,0,103,0,0,0,0,0,1,1,0,3,0,0,3,0,0,0,1,3,0,0,0,0,1,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,1,4,0,0,1,0,0
2020-05-27,1,0,20,0,1,1,0,0,1,0,0,0,313,0,0,2,0,4,0,0,76,0,2,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
2020-05-28,0,0,19,0,1,0,0,0,0,0,0,0,352,0,0,4,0,9,0,0,94,0,1,1,0,1,3,3,1,0,0,0,8,0,0,1,0,9,0,0,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,7,2,0,0,0,0
2020-05-29,0,1,12,0,1,0,0,4,1,0,0,0,349,0,1,1,0,6,0,1,91,0,2,1,0,0,2,1,0,1,0,1,0,0,0,2,1,6,1,1,3,0,1,1,0,0,2,1,1,1,0,0,0,1,0,0,0,0,0,12,0,1,2,0,0
2020-05-30,0,0,12,0,0,0,0,2,1,0,0,0,324,0,2,0,0,9,0,0,110,0,0,1,0,0,2,2,1,4,0,1,1,0,0,0,0,0,1,0,2,0,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,6,0,0,0,0,1
2020-05-31,0,0,9,0,0,2,1,2,0,0,0,0,317,0,0,0,0,8,0,0,89,0,0,2,0,0,1,1,0,5,0,0,0,0,1,0,0,4,0,1,1,0,1,0,0,0,1,0,0,0,1,2,1,0,0,1,0,0,0,7,0,0,0,0,0
2020-06-01,3,0,6,0,0,0,0,3,2,0,0,1,304,0,0,1,0,18,0,0,77,0,1,0,0,3,0,0,3,1,0,0,11,0,1,2,0,2,3,1,0,0,2,0,1,0,0,1,0,0,2,1,0,1,0,0,0,0,2,6,0,0,0,0,0
2020-06-02,0,0,13,1,0,2,0,0,1,0,1,0,311,0,2,0,0,12,2,0,71,0,0,0,0,1,1,2,0,0,0,0,5,0,0,0,1,5,0,1,3,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,2,3,1,4,0,0
2020-06-03,0,0,15,0,0,2,1,3,0,0,1,1,312,0,1,0,0,27,0,0,88,0,0,0,2,2,2,1,0,0,0,0,2,0,0,2,0,3,0,0,2,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,2,5,3,0,3,0,2
2020-06-04,5,3,37,0,1,11,5,3,1,1,3,2,667,1,7,5,2,20,0,0,150,0,0,0,1,2,2,7,3,8,1,0,17,0,0,4,0,4,0,5,1,0,1,0,1,0,3,0,3,0,2,2,1,0,0,5,1,2,4,19,0,5,6,0,1
2020-06-05,9,1,173,0,2,21,0,22,3,2,1,1,1428,3,16,14,5,58,3,1,316,6,0,2,1,11,18,27,12,1,1,5,39,1,1,3,3,18,0,3,11,5,8,2,1,1,8,3,1,0,12,7,5,10,0,3,1,0,3,27,3,5,6,1,2
2020-06-06,6,4,100,2,2,16,1,7,4,0,3,4,1113,0,21,17,1,56,0,2,217,3,1,7,2,9,9,16,5,6,4,1,31,0,4,1,5,13,1,3,6,0,7,1,0,3,7,3,0,0,9,11,5,12,0,1,2,1,8,26,4,1,12,0,4
2020-06-07,11,1,83,0,5,23,4,6,3,0,2,6,1065,0,11,16,0,51,3,4,218,0,1,3,0,12,14,15,5,4,3,4,26,0,2,4,7,13,1,3,6,0,10,1,4,3,5,0,1,1,5,17,4,5,2,6,7,3,6,24,3,1,10,4,5
2020-06-08,7,0,52,0,1,12,0,8,2,3,4,6,876,0,7,12,4,36,3,3,179,1,0,2,2,6,6,20,5,4,3,3,27,1,0,3,3,13,1,0,4,4,10,1,0,2,2,3,1,0,5,6,2,6,3,1,0,0,3,24,3,2,7,0,2
2020-06-09,3,0,58,0,1,7,3,9,0,1,0,0,773,0,6,12,1,33,0,3,153,2,1,3,1,4,4,9,1,0,1,3,18,0,0,1,3,9,0,1,6,0,2,0,0,3,3,2,2,2,3,3,1,4,0,0,0,0,2,15,2,2,10,1,1
2020-06-10,8,0,34,0,0,8,0,14,1,0,1,0,610,1,5,8,0,19,2,0,105,0,1,2,0,4,0,3,2,1,4,2,4,0,0,0,4,26,2,3,2,0,6,0,1,0,2,2,0,1,2,9,2,0,1,2,0,0,2,11,0,2,5,0,1
2020-06-11,0,0,28,1,5,2,0,5,8,0,1,0,470,0,8,0,2,11,1,2,91,0,2,6,1,1,8,4,2,1,5,4,17,0,0,2,2,7,1,2,0,1,2,0,0,0,1,0,0,0,1,3,4,4,0,0,0,0,6,8,1,1,3,0,1
2020-06-12,2,1,27,0,3,6,0,5,2,2,2,3,424,1,3,7,4,5,1,1,94,1,1,2,0,5,6,1,2,2,0,2,9,0,0,2,5,8,0,1,2,0,3,3,0,4,2,1,1,0,1,7,3,2,0,1,0,0,1,6,3,2,5,1,1
2020-06-13,1,0,15,0,0,3,0,4,2,3,1,1,399,0,2,9,0,6,1,2,61,0,3,0,0,6,2,2,3,0,1,2,12,1,1,1,1,8,0,1,5,2,4,0,1,1,1,0,1,0,1,5,0,2,2,1,0,1,1,6,2,1,4,1,1
2020-06-14,4,0,17,1,2,2,0,2,1,0,2,2,412,0,4,2,1,14,0,0,76,0,0,3,0,1,4,8,1,1,0,2,12,0,0,1,2,6,1,7,1,4,4,0,3,3,2,2,0,1,6,4,1,8,1,0,1,0,0,6,1,0,4,0,2
2020-06-15,4,0,16,0,1,7,0,11,1,0,3,1,403,0,2,4,1,12,3,0,70,0,0,2,0,4,1,8,2,1,1,2,9,0,1,2,3,7,0,0,0,0,4,0,0,1,2,0,0,1,1,3,1,3,3,1,0,0,3,4,3,1,3,0,0
2020-06-16,1,0,11,1,0,6,0,2,1,0,2,4,415,0,6,2,4,6,1,0,85,2,2,0,0,6,2,2,2,0,2,3,13,0,2,0,0,5,0,2,0,1,2,1,0,2,2,1,0,3,0,4,4,5,0,0,0,0,1,5,3,2,6,2,4
2020-06-17,2,0,10,0,2,1,0,5,1,3,1,1,368,0,2,4,0,13,0,0,70,1,0,0,0,1,3,7,2,1,1,4,4,0,0,1,2,7,1,2,1,0,4,0,0,1,1,0,1,0,4,2,0,0,0,1,0,0,5,3,0,1,4,0,2
2020-06-18,5,1,67,0,4,7,0,14,0,4,1,6,969,2,9,14,6,41,1,4,187,1,4,8,3,9,5,14,5,4,4,2,17,2,2,1,2,17,1,13,8,0,6,3,1,1,4,1,4,2,10,8,4,7,4,3,2,2,5,22,13,1,10,2,9
2020-06-19,1,0,27,4,1,8,0,9,0,0,1,3,568,0,9,4,1,15,0,0,97,1,1,3,0,5,0,1,5,1,4,1,15,1,1,2,9,13,1,2,1,0,0,4,0,2,1,0,1,4,2,4,1,7,1,5,0,0,4,10,5,1,8,0,3
2020-06-20,4,2,25,4,0,2,0,3,3,3,3,0,517,0,3,6,1,8,2,3,89,1,1,3,1,9,4,7,2,0,2,3,11,0,0,2,5,2,2,2,3,0,1,0,2,1,2,0,0,0,8,3,0,5,0,0,0,0,3,6,1,0,7,2,2
