date,Brahmanbaria,Satkhira,Chittagong,Magura,Kushtia,Chandpur,Panchagarh,Mymensingh,Nilphamari,Narail,Gopalganj,Manikganj,Unknown,Meherpur,Feni,Noakhali,Barguna,Gazipur,Pirojpur,Jamalpur,Dhaka,Natore,Chuadanga,Naogaon,Rangpur,Bogra,Narsingdi,Cox's Bazar,Sunamganj,Jaipurhat,Madaripur,Bhola,Comilla,Khagrachhari,Rajbari,Faridpur,Dinajpur,Sylhet,Chapainawabganj,Rajshahi,Munshiganj,Pabna,Sherpur,Rangamati,Thakurgaon,Habiganj,Sirajganj,Jhenaidah,Netrokona,Tangail,Bagerhat,Barisal,Gaibandha,Kishoreganj,Bandarban,Kurigram,Shariatpur,Lalmonirhat,Lakshmipur,Narayanganj,Jessore,Maulvibazar,Khulna,Jhalokati,Patuakhali
2020-04-03,1,1,18,0,0,1,3,0,1,1,0,1,0,0,0,2,0,5,0,0,76,1,0,1,1,5,2,0,0,0,0,0,2,0,2,2,0,4,1,1,1,1,1,0,1,2,1,2,0,3,0,2,0,3,0,1,0,0,0,5,1,0,2,0,0
2020-04-04,0,1,37,0,6,0,3,3,5,0,3,0,0,3,7,7,0,7,3,2,104,0,0,3,3,3,0,1,0,0,0,2,5,1,6,2,3,5,1,2,0,4,0,0,4,3,6,3,3,3,0,0,4,0,0,1,0,0,4,6,2,2,5,1,0
2020-04-05,4,2,31,0,2,4,0,5,1,1,4,2,0,4,3,2,0,7,1,8,120,1,0,1,3,3,1,4,2,0,0,2,9,1,0,2,8,9,4,5,2,3,1,0,3,0,2,1,3,6,0,4,0,1,0,0,2,0,2,20,3,1,3,1,2
2020-04-06,1,2,48,0,3,6,0,3,3,1,1,1,0,0,3,3,1,17,0,3,288,0,1,5,7,6,5,1,1,1,3,2,19,3,2,2,3,8,0,9,3,3,1,0,2,0,3,2,0,4,0,4,2,5,1,0,0,1,2,35,6,2,3,1,0
2020-04-07,2,2,7,0,0,3,0,5,1,1,0,0,0,1,0,0,0,8,1,0,76,2,0,2,0,3,4,5,1,0,2,0,2,0,2,5,2,2,0,6,1,3,0,0,0,1,0,1,1,10,0,2,4,2,0,0,1,0,0,5,4,1,3,0,1
2020-04-08,0,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,193,1,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,0,2,0,1,1,0,2,1,0,0,0,0,0,0,5,1,0,3,0,0
2020-04-09,2,2,4,1,0,4,0,2,1,0,1,0,0,0,1,5,0,5,1,2,65,4,0,2,2,2,1,1,0,4,0,1,2,0,0,5,2,0,0,2,0,3,2,0,1,0,1,1,2,3,0,0,1,0,0,0,0,0,3,19,1,0,1,2,0
2020-04-10,1,0,3,0,1,1,0,2,0,0,1,0,130,0,1,1,0,0,0,0,41,1,0,1,3,1,3,0,4,0,0,0,1,0,0,3,0,1,0,0,2,1,0,0,1,2,0,0,0,3,3,1,0,1,1,0,0,0,0,5,3,0,1,0,0
2020-04-11,0,0,7,0,0,0,0,0,1,0,0,0,324,0,0,0,0,3,0,0,27,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,1,0,1,4,1
2020-04-12,0,0,5,1,0,0,0,2,3,0,0,0,379,0,0,0,0,3,0,0,19,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,6,1,0,0,1,0,0,0,0,0,2,0,1,2,0,1
