date,Brahmanbaria,Satkhira,Chittagong,Magura,Kushtia,Chandpur,Panchagarh,Mymensingh,Nilphamari,Narail,Gopalganj,Manikganj,Unknown,Meherpur,Feni,Noakhali,Barguna,Gazipur,Pirojpur,Jamalpur,Dhaka,Natore,Chuadanga,Madaripur,Jaipurhat,Bogra,Sunamganj,Cox's Bazar,Naogaon,Narsingdi,Rangpur,Bhola,Comilla,Khagrachhari,Rajbari,Dinajpur,Faridpur,Sylhet,Chapainawabganj,Rajshahi,Munshiganj,Pabna,Sherpur,Rangamati,Thakurgaon,Habiganj,Sirajganj,Netrokona,Jhenaidah,Bagerhat,Tangail,Barisal,Gaibandha,Kishoreganj,Bandarban,Kurigram,Shariatpur,Lalmonirhat,Lakshmipur,Narayanganj,Jessore,Maulvibazar,Khulna,Jhalokati,Patuakhali
2020-04-03,2,0,12,0,0,1,3,0,2,1,0,1,0,0,0,2,0,10,0,1,74,2,0,1,1,6,1,0,0,0,0,0,1,0,0,5,1,3,0,2,1,1,2,0,0,0,2,0,0,4,2,1,1,0,0,0,0,0,0,13,1,0,5,0,1
2020-04-04,1,1,22,0,4,1,1,5,1,0,0,0,0,1,5,5,0,12,0,1,211,2,0,1,0,3,0,6,2,4,3,1,10,0,2,3,2,10,2,3,0,5,0,0,8,6,7,5,0,1,7,1,5,3,0,3,0,2,2,20,4,1,4,0,1
2020-04-05,7,3,39,0,4,3,0,10,0,0,0,3,0,9,9,5,0,8,0,1,239,1,0,11,0,5,3,9,2,5,4,0,4,0,0,5,2,13,0,13,7,4,0,0,0,1,0,1,0,2,5,0,2,8,0,0,0,0,1,11,5,0,8,0,0
2020-04-06,7,1,72,6,3,0,1,7,1,3,3,4,0,1,11,12,2,25,3,10,620,2,3,2,3,14,3,7,12,3,12,1,12,2,0,6,5,17,1,16,7,6,1,1,2,4,9,5,9,0,7,9,4,3,0,3,3,1,3,26,9,3,31,0,1
2020-04-07,0,3,15,1,1,1,1,5,2,0,3,2,0,0,1,5,0,7,0,0,156,5,0,2,0,1,0,5,0,1,5,1,13,0,0,6,2,1,0,6,2,0,2,0,0,0,3,3,0,0,2,3,1,0,0,0,2,0,2,7,5,0,14,0,0
2020-04-08,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,298,0,0,0,0,0,0,6,0,0,1,0,1,0,1,0,1,3,0,3,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,5,0,0,2,0,0
2020-04-09,0,2,2,1,0,3,1,2,0,1,0,2,0,1,3,2,0,4,0,4,115,0,0,0,1,3,0,4,3,1,4,1,3,3,1,6,3,4,0,1,0,0,2,3,0,0,0,0,0,1,10,1,2,4,0,0,2,1,1,12,4,0,2,2,1
2020-04-10,1,0,9,0,1,3,0,1,0,3,0,1,254,0,0,0,0,7,0,0,67,0,0,2,0,1,1,2,1,0,0,0,0,3,0,4,1,0,0,1,1,3,0,2,0,0,1,0,1,0,4,0,1,1,1,0,0,0,1,3,1,1,3,0,0
2020-04-11,2,2,5,0,0,2,0,1,0,0,0,0,537,0,2,0,0,4,0,0,42,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,3,3,0,0,0,0
2020-04-12,0,0,5,0,0,0,0,3,0,0,0,0,463,0,1,0,0,4,0,0,43,0,0,1,0,1,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,2,3,0,1
2020-04-13,2,0,5,0,0,0,0,0,0,0,0,1,330,0,1,0,2,1,0,0,44,1,1,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,2,0,0,4,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,4,1,0,1,0,0
2020-04-14,1,0,3,0,0,0,1,1,0,1,1,0,264,0,0,0,0,2,0,3,24,0,1,0,0,1,0,0,0,2,1,0,2,1,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,2,0,0,0,0,1
2020-04-15,0,1,2,0,2,0,0,0,0,2,0,0,346,0,0,1,0,0,0,1,34,0,0,0,0,0,0,0,1,2,5,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,3,2,0,1,0,0
2020-04-16,1,1,4,1,1,0,0,4,0,1,0,0,209,0,0,3,0,2,0,1,38,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,0,2,1,0,2,0,0
2020-04-17,1,0,11,0,0,4,0,0,0,0,0,0,270,0,0,1,0,2,0,0,32,0,0,0,0,3,0,2,1,0,0,0,1,3,0,1,2,0,1,6,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,6,1,0
2020-04-18,0,0,4,0,5,0,0,1,0,1,0,0,266,0,0,0,0,1,0,0,29,0,0,0,0,1,0,1,0,3,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,2,1,0
2020-04-19,0,0,1,0,3,0,0,1,0,0,0,0,199,0,0,0,0,1,2,2,31,0,0,0,1,0,0,1,1,1,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,2,3,0,1,0,1
2020-04-20,0,4,5,0,1,0,0,5,2,0,0,1,353,0,0,0,1,3,0,2,57,0,0,0,0,3,0,0,0,2,1,0,3,0,0,0,2,0,0,0,0,1,3,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,1,7,0,2,0,0,0
2020-04-21,0,0,4,0,1,1,0,1,0,0,0,0,420,0,3,3,0,5,0,0,48,0,0,0,0,1,0,1,1,3,1,3,0,0,0,0,0,2,0,5,0,1,0,0,0,0,1,0,1,0,0,3,0,3,0,0,0,1,1,2,0,0,2,0,1
2020-04-22,0,3,5,0,1,0,0,1,0,1,0,2,330,1,0,3,4,6,0,0,64,0,0,0,0,2,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,2,1,0,1,0,1,0,2,0,0,0,0,0,2,2,0,6,1,0
2020-04-23,0,0,5,0,2,1,0,2,0,0,1,1,256,0,0,3,0,1,0,0,44,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,0,3,1,2,0,0,0,1,0,0,3,0,0,0,0,3,0,3,1,0,0,0,2,4,1,1,0,0,0
2020-04-24,0,0,4,0,1,0,1,1,0,0,0,0,295,0,0,1,0,6,0,0,47,4,1,0,0,0,2,4,0,0,3,0,2,0,0,0,1,2,1,0,1,0,0,0,0,0,3,1,0,0,2,3,0,0,0,0,0,0,0,5,3,0,2,0,0
2020-04-25,0,0,1,1,0,0,0,0,1,0,0,0,198,0,0,0,0,4,0,0,30,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,7,0,0,2,0,0
2020-04-26,1,0,5,0,0,0,0,5,0,1,1,0,200,0,0,2,0,6,0,0,30,0,0,2,0,2,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,1,1,2,2,1,0,0,0,2,0,0,0,1,1,0,1
2020-04-27,0,2,2,0,1,0,0,0,0,2,0,0,204,3,0,0,0,2,1,1,29,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-28,0,1,4,0,0,0,0,1,0,1,0,0,139,0,0,1,0,0,0,1,19,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,6,2,0,0,0,0
2020-04-29,0,0,3,0,0,0,0,1,0,0,0,0,143,0,0,1,0,4,0,0,36,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,2,0,0,3,0,0
2020-04-30,0,0,0,2,0,1,0,2,0,0,0,1,203,0,0,0,0,5,1,0,43,0,0,0,0,0,0,0,1,0,1,0,4,0,0,2,0,0,0,1,0,1,0,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,2,2,0,0
2020-05-01,0,0,0,0,0,0,0,4,0,0,2,0,163,0,0,1,0,5,0,1,30,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,1,3,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0
2020-05-02,0,2,3,0,1,0,1,2,1,0,0,0,670,0,0,0,0,2,0,0,57,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
2020-05-03,0,0,4,0,1,1,0,0,0,0,0,0,264,0,0,2,0,1,0,0,29,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,0,0,0,0,0
2020-05-04,0,0,7,0,2,0,1,2,0,0,0,1,139,0,2,1,0,0,0,0,44,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,0,0,0,0,0,0,1,2,5,1,0,0,0,0
2020-05-05,2,0,3,0,0,0,0,3,0,0,0,0,135,0,2,0,0,1,0,1,33,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,2,0,1,0,0,0,0,1,1,1,0,2,0,0
2020-05-06,1,0,5,0,2,0,0,0,1,0,0,0,109,0,2,0,0,1,0,0,45,0,0,0,0,1,0,0,3,6,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,2,0,0
2020-05-07,0,0,2,0,3,3,0,0,0,0,0,0,159,0,2,0,0,1,0,1,36,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,2,0,0
2020-05-08,0,0,6,0,0,0,0,4,0,0,0,0,132,0,0,0,0,1,0,1,30,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0
2020-05-09,3,1,5,2,0,1,0,0,0,0,0,0,115,0,0,2,0,0,0,0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,1,3,0,0,0,0,0,4,0,0,2,0,0
2020-05-10,0,0,2,0,0,0,0,2,0,0,0,0,85,0,1,1,0,2,0,0,27,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-05-11,0,0,5,0,0,1,0,0,0,0,0,0,121,0,0,0,0,3,0,0,42,0,0,0,0,2,0,3,0,0,3,0,3,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0
2020-05-12,0,0,3,0,0,1,0,2,0,0,0,0,103,0,0,3,0,5,0,0,34,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-13,2,0,4,0,0,0,0,2,0,0,0,0,110,0,0,1,0,4,0,0,39,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0
2020-05-14,1,0,4,1,0,0,0,2,0,0,1,0,135,0,0,1,0,6,0,0,37,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2020-05-15,1,0,7,0,0,0,0,0,0,0,1,0,131,0,0,0,0,3,0,2,33,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,2,0,0,1,0,0,2,1,0,0,0,0
2020-05-16,1,0,3,0,1,1,0,1,1,0,0,0,150,1,0,1,0,4,0,1,70,0,0,0,1,1,0,2,1,1,0,0,1,0,0,2,2,0,1,4,0,5,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,2,1,0
2020-05-17,0,0,6,1,0,0,0,0,0,0,0,0,126,0,3,0,0,2,0,0,43,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
