date,Brahmanbaria,Satkhira,Chittagong,Magura,Kushtia,Chandpur,Panchagarh,Mymensingh,Nilphamari,Narail,Gopalganj,Manikganj,Unknown,Meherpur,Feni,Noakhali,Barguna,Gazipur,Pirojpur,Jamalpur,Dhaka,Natore,Chuadanga,Madaripur,Naogaon,Bogra,Narsingdi,Sunamganj,Cox's Bazar,Jaipurhat,Rangpur,Bhola,Comilla,Khagrachhari,Rajbari,Dinajpur,Faridpur,Sylhet,Chapainawabganj,Rajshahi,Munshiganj,Pabna,Sherpur,Rangamati,Thakurgaon,Habiganj,Sirajganj,Jhenaidah,Netrokona,Bagerhat,Tangail,Barisal,Gaibandha,Kishoreganj,Bandarban,Kurigram,Shariatpur,Lalmonirhat,Lakshmipur,Narayanganj,Jessore,Maulvibazar,Khulna,Jhalokati,Patuakhali
2020-04-03,2,0,13,0,1,5,2,4,1,0,1,0,0,1,1,3,0,7,0,0,107,3,0,2,1,1,2,1,0,0,0,3,2,1,0,1,0,2,1,0,2,3,3,0,0,2,1,1,0,2,5,0,1,2,0,0,0,2,1,17,1,0,2,0,5
2020-04-04,3,7,39,1,10,7,2,6,2,3,3,1,0,2,6,5,3,20,4,5,230,2,4,1,6,10,8,1,11,3,10,5,7,1,4,8,2,14,2,4,1,12,2,0,1,9,18,3,4,2,12,3,7,2,0,3,0,0,6,13,1,1,4,0,1
2020-04-05,5,6,37,1,1,7,1,10,2,1,8,6,0,1,10,10,2,26,1,10,207,3,0,3,9,8,8,4,6,1,6,3,21,3,0,7,5,9,2,5,3,13,3,0,1,1,1,0,4,2,6,7,10,3,1,0,1,1,3,20,8,0,17,0,0
2020-04-06,7,1,80,2,7,7,3,11,7,0,4,5,0,2,13,11,2,38,1,17,641,6,4,3,6,8,12,3,12,2,17,3,29,6,0,12,7,33,2,14,3,11,5,3,3,2,14,12,1,1,13,24,5,12,2,1,7,6,8,55,11,6,24,3,1
2020-04-07,2,0,18,5,1,0,0,4,5,0,0,4,0,2,1,4,0,15,0,1,164,3,0,1,1,4,5,1,8,2,5,0,8,0,2,6,4,4,0,4,1,8,1,0,1,0,3,2,0,1,4,3,3,0,0,0,1,0,0,17,6,1,10,2,4
2020-04-08,6,0,2,0,2,2,0,5,0,0,0,0,0,0,0,0,0,3,1,0,324,0,0,0,1,0,0,0,7,0,0,0,4,0,0,3,0,4,1,0,1,0,1,0,0,0,0,1,0,0,1,0,2,1,0,0,0,3,0,4,0,0,1,0,0
2020-04-09,1,1,16,0,2,6,0,2,0,1,1,0,0,0,3,5,1,11,3,0,122,1,2,5,1,3,5,0,2,0,11,1,4,6,5,2,2,3,0,2,4,4,0,0,1,4,3,2,2,4,9,8,0,2,0,0,1,2,0,18,3,0,3,1,1
2020-04-10,1,3,4,0,2,2,1,4,0,0,2,2,316,0,3,0,0,3,0,2,81,0,1,3,1,2,3,0,1,3,5,0,5,0,0,3,0,2,1,2,0,1,0,0,0,0,1,4,1,1,4,1,0,1,0,1,0,0,1,3,2,0,2,0,0
2020-04-11,0,2,7,0,2,2,0,1,0,0,1,0,555,0,2,4,1,1,0,0,40,1,2,0,3,3,2,1,0,1,0,0,3,0,0,1,0,2,1,1,0,0,0,0,0,0,1,0,0,0,1,2,1,1,0,1,0,0,0,7,1,1,1,2,0
2020-04-12,2,2,4,1,0,2,0,4,1,1,0,0,608,0,0,0,0,4,0,1,37,0,0,2,4,3,0,0,0,1,3,3,2,0,0,6,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,1,2,2,1,1
2020-04-13,4,0,4,0,1,1,0,1,1,0,1,3,379,0,1,0,0,3,0,1,52,0,1,0,2,0,0,0,1,0,4,0,2,0,0,0,1,1,0,2,2,0,0,0,0,1,4,1,2,1,2,0,0,2,0,0,2,0,0,11,0,0,1,0,0
2020-04-14,0,1,11,0,0,0,0,1,0,0,2,0,333,0,0,2,1,2,0,0,24,1,0,0,0,5,3,0,0,0,1,1,4,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,2,0,1
2020-04-15,0,3,12,0,2,1,0,0,0,0,0,0,385,0,3,1,0,2,0,1,40,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,3,1,0,0,1,1,2,2,2,0,0,1,0,1,5,1,0,3,0,0
