date,Brahmanbaria,Satkhira,Chittagong,Magura,Kushtia,Chandpur,Panchagarh,Mymensingh,Nilphamari,Narail,Gopalganj,Manikganj,Unknown,Meherpur,Feni,Noakhali,Barguna,Gazipur,Pirojpur,Jamalpur,Dhaka,Natore,Chuadanga,Madaripur,Naogaon,Bogra,Cox's Bazar,Narsingdi,Rangpur,Jaipurhat,Sunamganj,Bhola,Comilla,Khagrachhari,Rajbari,Dinajpur,Faridpur,Sylhet,Chapainawabganj,Rajshahi,Munshiganj,Pabna,Sherpur,Rangamati,Thakurgaon,Habiganj,Sirajganj,Jhenaidah,Netrokona,Bagerhat,Tangail,Barisal,Gaibandha,Kishoreganj,Bandarban,Kurigram,Shariatpur,Lalmonirhat,Lakshmipur,Narayanganj,Jessore,Maulvibazar,Khulna,Jhalokati,Patuakhali
2020-04-03,3,1,8,0,0,5,0,1,2,0,0,2,0,0,1,2,0,8,0,2,73,1,0,3,2,8,2,1,3,0,0,0,4,0,0,2,0,2,0,2,1,5,5,0,0,0,0,5,2,3,2,0,1,3,0,0,0,0,4,10,1,2,3,0,0
2020-04-04,3,1,30,0,7,10,1,6,3,2,0,2,0,1,4,8,3,20,3,6,255,0,3,0,2,15,4,4,6,1,0,1,13,1,4,5,0,14,2,4,0,5,2,0,1,3,13,1,1,2,9,3,4,2,1,1,1,0,6,28,3,1,6,0,3
2020-04-05,3,4,28,0,2,4,2,19,0,0,2,2,0,0,10,11,1,26,2,5,248,3,2,2,3,5,9,9,3,0,14,1,17,2,2,6,2,12,1,3,6,8,2,0,1,1,3,0,4,2,5,4,5,2,2,0,0,0,1,28,5,1,10,2,0
2020-04-06,14,19,72,5,2,6,0,20,6,2,4,5,0,1,10,19,2,31,9,16,710,5,5,2,12,12,5,11,15,1,3,1,16,2,1,15,5,23,4,17,2,9,3,0,9,3,8,10,6,3,9,13,6,9,0,2,5,2,3,59,22,6,32,2,4
2020-04-07,4,2,11,2,2,0,0,2,4,0,1,2,0,0,3,8,0,14,0,1,153,5,0,1,3,4,0,3,2,0,0,5,5,1,1,5,9,6,0,4,2,2,1,1,0,2,1,2,2,0,1,3,0,0,0,1,1,0,3,12,3,2,6,0,0
2020-04-08,4,1,2,0,2,1,0,5,0,0,0,0,0,0,0,0,0,7,0,0,325,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,6,1,2,0,0,0,0,0,0,1,0,0,2,0,0
2020-04-09,2,3,13,0,2,4,1,6,2,0,2,4,0,0,1,5,1,12,1,2,127,5,1,6,6,1,4,7,14,1,0,0,12,1,1,1,6,5,1,2,6,2,2,1,0,3,0,3,5,2,9,8,3,0,1,0,2,1,3,16,5,0,13,1,0
2020-04-10,2,0,14,0,3,3,0,1,0,0,1,1,264,0,6,2,0,6,0,0,80,3,1,2,2,2,1,3,5,0,3,0,4,0,0,1,3,2,0,4,2,1,0,0,2,0,0,0,0,4,5,0,1,2,0,0,0,0,0,2,4,0,4,0,0
2020-04-11,0,2,7,1,0,0,0,1,0,1,2,0,550,0,2,1,0,1,0,0,57,1,0,0,1,0,0,2,0,0,0,2,4,0,0,1,1,2,0,2,0,2,0,0,0,0,1,0,0,0,3,1,2,0,0,0,2,1,1,5,1,0,2,1,0
2020-04-12,2,1,7,2,1,3,0,5,1,1,1,0,535,1,1,0,0,6,0,0,45,3,0,2,2,6,0,2,1,1,0,2,3,0,0,0,0,1,1,2,0,0,0,0,1,1,0,2,1,1,0,2,1,0,0,0,0,0,0,1,0,1,3,2,0
2020-04-13,0,0,4,0,0,1,2,2,0,0,1,2,400,1,4,0,0,2,0,3,57,1,2,0,1,0,2,2,4,0,0,0,3,0,0,1,1,1,1,2,1,2,0,0,1,1,2,3,0,1,1,0,1,2,0,0,1,0,0,4,0,0,0,0,1
2020-04-14,0,4,4,0,0,1,0,1,0,2,1,1,306,0,1,1,1,1,0,1,35,0,1,0,0,1,0,3,0,0,0,0,7,0,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,8,0,1,0,0,1
2020-04-15,0,0,8,2,1,0,0,1,0,0,0,0,363,0,0,2,0,2,0,0,50,0,0,1,0,0,1,1,0,0,0,0,2,0,1,1,0,2,0,4,0,0,0,0,1,0,1,0,0,0,0,2,2,9,0,0,1,0,0,6,0,0,0,0,0
2020-04-16,1,1,8,1,1,0,0,3,0,0,0,0,171,0,0,1,0,1,1,2,26,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,3,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2,2,0,0
