date,Brahmanbaria,Satkhira,Chittagong,Magura,Kushtia,Chandpur,Panchagarh,Mymensingh,Nilphamari,Narail,Gopalganj,Manikganj,Unknown,Meherpur,Feni,Noakhali,Barguna,Gazipur,Pirojpur,Jamalpur,Dhaka,Natore,Chuadanga,Madaripur,Jaipurhat,Bogra,Naogaon,Narsingdi,Rangpur,Sunamganj,Cox's Bazar,Bhola,Comilla,Khagrachhari,Rajbari,Dinajpur,Faridpur,Sylhet,Chapainawabganj,Rajshahi,Munshiganj,Pabna,Sherpur,Rangamati,Thakurgaon,Habiganj,Sirajganj,Jhenaidah,Netrokona,Bagerhat,Tangail,Barisal,Gaibandha,Kishoreganj,Bandarban,Shariatpur,Kurigram,Lalmonirhat,Lakshmipur,Narayanganj,Jessore,Maulvibazar,Khulna,Jhalokati,Patuakhali
2020-04-03,6,1,15,1,1,0,1,3,4,1,0,0,0,0,6,4,0,13,0,2,138,1,0,11,1,5,2,1,1,1,0,1,7,0,0,4,0,2,0,1,1,3,2,0,0,1,2,7,0,2,3,7,1,3,0,2,0,0,0,18,1,3,2,0,3
2020-04-04,9,3,59,1,6,5,3,11,6,3,1,0,0,4,10,12,0,21,7,6,247,7,5,3,1,8,4,9,6,1,10,3,15,1,3,11,5,9,2,10,1,3,2,1,4,7,12,3,1,3,6,4,4,8,0,1,2,0,2,39,10,2,2,0,0
2020-04-05,6,0,47,2,4,9,2,7,1,2,2,6,0,1,5,12,1,25,2,7,280,1,0,4,2,15,5,10,11,8,12,7,20,0,1,4,2,24,1,9,5,7,0,0,0,1,5,3,3,2,9,7,4,1,0,0,0,0,0,26,7,1,18,0,2
2020-04-06,4,5,72,4,5,8,1,17,3,1,6,4,0,0,14,11,3,43,3,7,620,0,2,5,0,12,4,8,19,8,7,2,34,3,1,10,6,19,0,15,2,8,1,0,6,3,11,7,4,0,12,19,4,10,1,2,5,0,6,50,13,1,14,2,4
2020-04-07,1,2,24,6,1,3,1,2,0,1,2,4,0,2,2,2,0,20,2,1,196,2,0,2,0,6,2,5,7,0,3,0,7,0,1,5,2,6,0,6,2,5,1,0,1,2,5,1,0,1,1,10,0,0,0,1,2,0,2,16,5,0,18,1,0
2020-04-08,2,0,5,0,0,0,0,7,0,0,2,0,0,0,2,1,0,3,0,0,425,0,1,2,0,2,0,1,0,0,4,0,2,0,2,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,5,0,0,1,5,0,1,0,0,2,0,0
2020-04-09,0,5,15,1,1,5,0,7,4,1,1,4,0,0,3,2,0,12,3,4,146,3,1,4,3,5,6,6,1,0,1,2,4,1,0,2,5,8,0,2,2,2,2,0,2,2,2,4,1,0,15,6,5,2,0,0,0,0,5,14,2,0,8,4,1
2020-04-10,1,1,7,0,6,4,1,3,0,2,1,2,373,0,5,3,0,10,0,2,78,3,0,2,0,2,2,16,0,3,6,0,5,0,0,0,3,2,1,1,2,2,0,0,1,6,1,4,2,1,10,0,2,7,2,0,2,0,1,6,2,0,3,0,0
2020-04-11,0,2,12,0,2,3,0,1,0,0,0,0,714,0,3,3,0,9,1,3,68,1,0,0,0,2,1,2,1,0,0,0,4,0,0,2,0,0,0,1,0,1,0,0,0,0,2,0,0,0,4,1,1,0,0,0,1,0,1,8,4,1,1,2,0
2020-04-12,2,0,22,1,2,4,0,2,1,0,0,0,665,0,0,1,0,5,1,0,41,1,0,2,0,3,5,2,0,0,0,4,0,0,0,2,1,1,0,0,1,0,0,0,1,0,0,2,0,1,5,2,0,2,0,0,2,0,0,1,0,3,3,0,1
2020-04-13,3,0,9,0,0,1,0,2,0,0,0,2,564,0,2,1,0,3,0,1,43,1,1,0,0,0,2,1,2,0,2,0,2,0,0,0,0,0,1,3,0,1,0,0,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,3,1,2,5,0,0
2020-04-14,1,2,8,0,0,0,0,3,0,1,2,1,407,0,0,1,0,0,0,2,39,0,0,0,0,5,0,1,0,0,0,0,6,0,1,0,0,1,0,3,1,1,0,0,0,0,0,9,0,0,4,2,1,2,0,0,0,0,0,5,1,2,2,0,2
2020-04-15,1,0,9,1,0,1,1,1,3,2,1,0,537,0,1,1,1,7,0,0,35,0,0,0,1,4,1,2,1,0,3,0,4,2,0,2,1,0,1,0,0,0,0,0,0,3,2,0,0,0,1,2,0,5,0,0,0,0,0,6,1,0,0,0,0
2020-04-16,2,3,3,0,2,0,0,2,0,0,0,0,305,0,0,1,0,4,1,1,49,0,0,0,0,0,0,2,0,0,0,0,2,1,1,2,2,1,3,3,1,1,0,0,0,1,0,0,0,0,2,0,0,1,0,1,0,0,2,2,2,0,4,0,0
2020-04-17,1,0,8,0,0,6,0,6,2,1,0,1,425,1,2,0,0,9,0,0,65,0,1,0,1,4,0,0,3,0,3,0,4,0,0,0,0,5,2,2,0,4,0,0,0,0,4,1,1,0,2,1,0,3,0,0,0,0,0,5,0,0,2,2,0
2020-04-18,0,0,4,0,6,1,0,0,0,1,0,0,380,1,1,0,0,6,1,0,47,0,0,0,0,4,0,1,4,0,0,0,7,0,1,7,1,0,0,1,1,1,0,0,0,0,1,3,0,0,1,1,0,3,0,0,0,0,2,4,0,0,3,0,0
2020-04-19,2,2,8,0,1,0,0,3,0,0,0,0,321,0,0,1,0,6,2,0,46,0,0,0,0,0,2,0,2,0,1,1,2,0,0,2,0,2,0,0,1,0,0,0,1,0,5,0,1,3,1,0,0,1,0,0,0,0,0,4,5,0,0,0,0
2020-04-20,0,4,9,0,1,2,0,5,0,0,1,1,507,0,1,0,0,4,2,2,82,0,2,1,0,5,0,3,5,0,0,1,5,0,0,3,0,2,1,1,2,1,1,0,0,3,0,0,1,1,2,1,0,2,0,0,0,0,1,6,1,0,8,0,1
2020-04-21,3,0,10,0,0,1,0,4,1,1,3,1,698,0,4,3,1,13,0,0,104,1,0,5,0,1,0,1,2,0,1,0,2,0,0,5,0,7,0,8,2,3,1,0,0,0,2,2,0,1,6,3,1,5,0,0,0,1,2,9,0,2,3,0,0
