date,Brahmanbaria,Satkhira,Chittagong,Magura,Kushtia,Chandpur,Panchagarh,Mymensingh,Nilphamari,Narail,Gopalganj,Manikganj,Unknown,Meherpur,Feni,Noakhali,Barguna,Gazipur,Pirojpur,Jamalpur,Dhaka,Natore,Chuadanga,Madaripur,Jaipurhat,Bogra,Cox's Bazar,Naogaon,Narsingdi,Rangpur,Sunamganj,Bhola,Comilla,Khagrachhari,Rajbari,Dinajpur,Faridpur,Sylhet,Chapainawabganj,Rajshahi,Munshiganj,Pabna,Sherpur,Rangamati,Thakurgaon,Habiganj,Sirajganj,Jhenaidah,Netrokona,Bagerhat,Tangail,Barisal,Gaibandha,Kishoreganj,Pabna Police line,Bandarban,Kurigram,Shariatpur,Lalmonirhat,Lakshmipur,Narayanganj,Jessore,Maulvibazar,Khulna,Jhalokati,Patuakhali
2020-04-03,7,2,16,4,1,13,1,8,2,1,0,1,0,1,3,7,1,17,1,0,177,4,0,5,2,12,3,2,3,3,1,4,10,0,1,6,2,3,2,3,4,4,6,0,1,5,3,5,4,5,4,2,2,5,0,0,5,1,2,3,24,0,0,8,0,2
2020-04-04,11,4,61,0,11,15,3,19,9,4,0,1,0,3,12,23,2,31,8,10,417,1,6,6,2,18,9,7,29,13,2,2,25,2,5,19,4,21,5,7,2,16,2,0,3,7,23,8,5,1,21,7,12,6,0,0,2,1,2,9,61,11,4,16,0,3
2020-04-05,9,7,70,1,6,17,5,25,1,3,9,7,0,0,11,19,2,38,3,10,412,2,4,5,0,11,13,12,16,14,13,7,36,2,2,6,11,22,4,11,10,15,2,0,3,3,7,3,11,2,9,9,7,8,0,1,1,0,1,4,49,8,4,25,2,3
2020-04-06,25,20,120,4,9,12,2,29,6,3,6,9,0,2,31,31,4,71,7,25,1083,6,10,3,1,31,7,21,14,30,6,4,47,6,1,15,17,32,7,22,5,20,5,5,4,6,12,16,5,6,16,34,16,16,0,4,8,10,2,8,100,32,11,37,6,8
2020-04-07,7,6,37,6,1,5,0,16,9,1,1,4,0,0,1,13,0,23,1,4,270,7,0,3,0,8,11,7,7,3,1,5,11,2,1,8,12,15,0,9,10,9,0,0,2,0,5,3,2,1,7,7,5,1,0,0,0,1,0,1,25,2,4,14,1,6
2020-04-08,5,4,4,0,1,0,0,6,0,0,1,0,0,0,1,1,0,10,1,0,663,3,1,1,0,6,10,1,0,2,0,0,2,0,0,0,1,4,0,0,2,2,2,1,1,0,1,0,2,0,3,3,2,3,0,0,0,2,0,1,10,4,0,3,0,1
2020-04-09,5,1,24,3,1,12,0,8,3,0,2,8,0,1,4,10,0,29,2,6,228,5,3,9,5,3,2,10,14,11,0,1,11,3,2,4,14,13,2,6,3,6,3,3,4,5,4,2,4,3,16,7,11,3,0,0,0,2,2,4,30,7,0,16,5,1
2020-04-10,4,2,17,0,6,5,1,7,1,1,4,0,497,1,8,4,0,6,0,3,142,4,3,2,0,2,2,2,13,3,7,2,9,0,0,6,9,3,0,5,4,1,3,0,3,2,2,0,2,6,8,4,0,12,0,2,0,1,1,1,8,4,1,3,2,0
2020-04-11,0,0,24,0,3,3,0,2,0,1,3,0,1095,0,3,3,1,3,0,0,101,2,0,0,0,1,0,3,3,2,1,0,5,0,1,4,1,2,0,0,0,1,0,0,0,0,1,0,0,0,5,4,3,2,0,0,1,1,1,0,11,7,1,3,2,1
2020-04-12,6,1,15,2,2,0,0,5,1,1,2,0,992,0,0,1,1,10,1,1,72,3,1,3,1,9,0,4,1,3,0,2,2,1,0,5,0,5,0,1,1,3,0,0,0,2,0,1,0,1,3,7,1,7,0,0,2,1,0,1,2,0,2,4,2,2
2020-04-13,2,1,5,0,0,2,0,0,0,0,0,2,442,1,1,0,0,3,0,1,43,0,1,0,0,1,2,1,2,0,0,0,4,0,0,3,0,1,2,2,2,1,0,0,0,1,0,1,9,2,0,0,2,2,0,0,0,1,0,1,6,0,0,2,0,1
2020-04-14,0,0,1,0,0,0,0,0,0,0,1,0,82,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2020-04-15,0,0,1,0,0,0,0,0,0,0,0,0,79,0,0,1,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0
2020-04-16,0,1,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-04-17,0,0,1,0,0,0,0,0,0,0,0,0,63,0,2,0,0,1,0,1,8,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
2020-04-18,0,0,1,0,1,0,0,1,1,0,0,0,77,0,0,0,1,1,0,1,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2020-04-19,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-04-20,0,0,1,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,0,1,0,0,1
2020-04-21,0,0,3,0,0,0,0,0,0,0,0,0,88,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0
2020-04-22,1,0,5,0,0,0,0,0,0,0,0,0,92,0,1,0,0,1,0,1,13,0,5,0,0,1,1,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0
2020-04-23,0,0,1,0,0,1,0,0,0,0,0,1,108,0,0,1,0,2,0,0,17,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0
2020-04-24,0,0,1,0,0,4,0,0,0,0,0,0,92,0,0,0,0,2,1,0,7,0,0,0,0,0,3,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-04-25,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,1,1,0,10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2020-04-26,0,0,0,0,3,0,0,0,0,0,1,0,83,0,1,1,0,0,0,0,18,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
2020-04-27,0,0,1,0,1,0,0,0,0,1,0,0,44,0,1,0,0,1,0,0,10,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2020-04-28,0,0,2,0,0,0,0,0,0,1,0,0,53,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2020-04-29,0,0,1,0,0,1,0,1,0,0,0,0,73,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2020-04-30,0,0,0,0,0,1,0,0,0,0,0,0,51,0,1,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0
2020-05-01,0,0,0,0,0,1,0,0,0,0,0,0,47,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-02,1,0,0,0,0,0,0,1,0,0,0,1,80,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-03,0,0,0,0,1,0,0,0,0,0,0,0,66,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2020-05-04,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,2,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
