date,Comilla,Sunamganj,Unknown,Manikganj,Kishoreganj,Kushtia,Sirajganj,Jhenaidah,Rangamati,Chittagong,Nilphamari,Thakurgaon,Pabna,Rajshahi,Cox's Bazar,Chapainawabganj,Tangail,Sylhet,Feni,Chuadanga,Bagerhat,Maulvibazar,Magura,Munshiganj,Kurigram,Netrokona,Meherpur,Narsingdi,Pirojpur,Gopalganj,Mymensingh,Khulna,Jhalokati,Narayanganj,Lakshmipur,Khagrachhari,Jamalpur,Natore,Noakhali,Chandpur,Narail,Rajbari,Jaipurhat,Gazipur,Patuakhali,Sherpur,Ã Â¦ÅÃ Â¦Â¾Ã Â¦Â®Ã Â¦Â¾Ã Â¦Â²Ã Â¦ÂªÃ Â§ÂÃ Â¦Â°,Habiganj,Dhaka,Naogaon,Satkhira,Faridpur,Dinajpur,Shariatpur,Bandarban,Rangpur,Madaripur,Bogra,Brahmanbaria,Barguna,Gaibandha,Bhola,Jessore,Barisal,Lalmonirhat,Panchagarh
2020-04-03,2,0,0,0,0,0,3,0,0,6,0,0,0,1,0,2,1,0,3,0,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0,0,2,2,3,2,0,0,0,2,0,1,0,0,30,0,2,1,1,0,0,1,1,0,0,0,0,3,0,0,0,2
2020-04-04,7,1,0,1,1,2,9,1,0,25,0,1,5,1,1,0,5,9,1,2,0,0,0,0,0,0,2,2,1,0,5,4,0,11,3,0,2,0,6,4,2,1,0,2,0,1,0,0,131,1,3,1,4,0,0,3,1,5,3,0,2,0,4,0,1,2
2020-04-05,12,1,0,2,2,1,3,1,0,11,0,0,1,4,0,2,4,6,9,2,2,4,0,0,0,1,0,3,0,3,2,4,2,6,0,0,2,2,8,6,0,4,0,15,0,0,0,1,120,3,1,7,2,0,0,1,0,8,0,0,2,2,3,4,0,0
2020-04-06,14,2,0,3,2,1,1,0,0,32,2,0,4,3,4,0,11,6,4,0,3,1,2,1,0,1,0,4,0,1,5,11,1,25,1,2,3,1,6,2,1,0,1,20,2,3,0,1,225,2,2,5,2,3,0,2,1,8,5,0,5,1,2,5,2,0
2020-04-07,3,0,0,2,2,0,4,0,0,7,1,0,2,5,2,0,2,6,0,0,0,2,2,4,0,0,1,3,1,1,3,9,0,4,0,0,1,0,2,2,2,1,0,4,1,0,0,0,107,1,1,3,3,0,0,0,2,4,1,1,3,2,6,3,1,0
2020-04-08,0,0,0,0,0,0,1,0,0,5,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,6,0,0,1,0,162,0,0,1,0,0,0,0,0,2,2,0,0,0,0,2,0,0
2020-04-09,7,0,0,1,1,0,1,0,0,4,0,2,2,0,0,0,4,2,1,0,0,0,0,0,0,0,0,1,0,0,2,1,4,6,0,2,1,1,2,1,0,2,1,2,0,1,0,0,40,2,0,4,1,1,0,2,0,1,0,0,1,0,0,1,0,0
2020-04-10,4,0,104,0,2,1,0,0,0,4,0,2,0,1,0,0,2,2,2,0,0,0,0,3,0,0,0,0,0,0,1,2,0,5,1,0,0,2,0,2,0,0,0,1,0,0,0,0,33,2,1,1,2,0,1,2,0,1,1,0,0,0,0,5,0,0
2020-04-11,1,0,275,0,0,1,1,0,0,4,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,1,3,1,0,0,0,0,0,0,0,0,20,1,0,0,3,2,0,0,0,0,0,0,1,0,2,0,0,0
2020-04-12,0,0,341,0,1,0,0,1,0,3,0,0,3,1,0,0,0,0,1,0,0,1,2,0,2,0,0,0,0,0,2,3,1,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,21,0,0,0,0,1,0,2,1,3,2,1,0,3,0,2,0,0
2020-04-13,1,0,208,3,0,0,1,1,0,2,0,0,0,1,0,0,1,1,0,1,0,0,0,3,0,1,0,3,0,0,1,1,0,4,1,0,1,0,1,0,0,0,0,2,0,0,0,1,12,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2020-04-14,3,0,192,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,2,0,1,0,0,1,0,0,2,0,0,0,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-04-15,0,0,191,0,12,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,2,0,0,0,0,3,0,0,0,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
2020-04-16,2,0,115,0,1,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1
2020-04-17,1,0,128,1,2,0,2,0,0,9,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,2,0,1,0,0,0,1,1,0,1,0,0,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2020-04-18,1,0,204,0,0,1,0,0,0,4,1,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,1,5,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,16,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0
2020-04-19,0,0,108,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
2020-04-20,0,0,207,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,2,1,0,2,0,4,0,0,1,0,0,3,0,1,0,1,0,0,0,0,27,0,0,0,2,0,0,2,0,2,1,0,1,0,0,0,0,0
2020-04-21,1,0,233,0,0,0,2,2,0,0,0,0,2,1,0,0,4,0,5,1,0,1,0,0,0,0,0,0,1,0,3,0,0,1,3,0,1,1,0,0,0,0,0,2,0,0,0,2,43,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
2020-04-22,1,0,210,1,1,0,1,0,0,6,0,0,0,1,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,3,4,0,2,0,1,4,0,0,0,0,0,0,6,2,0,0,2,35,1,0,0,0,0,0,0,1,0,0,1,1,0,2,1,0,0
2020-04-23,2,0,203,2,1,0,1,2,0,1,0,0,1,2,0,0,2,2,1,0,0,0,0,1,0,0,0,1,0,0,2,2,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,1,42,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-04-24,3,1,182,0,8,0,3,0,0,6,0,0,0,1,3,0,2,4,1,0,0,0,0,0,0,0,0,2,0,2,0,1,0,2,0,0,2,5,2,4,0,0,0,1,0,1,0,0,24,0,0,0,1,1,0,1,0,2,0,0,2,1,2,2,0,0
2020-04-25,1,1,173,1,2,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,1
2020-04-26,0,0,158,0,3,0,0,1,0,4,0,0,1,0,0,0,0,2,2,0,2,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,2,0,0,0,1,0,0,3,0,0,0,1,30,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0
2020-04-27,1,0,155,0,0,3,0,0,0,5,0,1,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,1,1,0,2,0,0,1,1,0,2,0,0,1,0,2,0,5,0,0,0,0,39,0,0,0,0,3,0,4,0,0,1,0,0,0,0,0,0,1
2020-04-28,0,0,130,0,0,0,0,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2,32,1,0,0,1,1,0,0,0,1,0,0,0,0,2,1,0,0
2020-04-29,5,0,119,0,0,0,0,0,0,4,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,2,1,0,1,0,0,0,7,0,0,0,0,27,0,0,1,0,0,0,3,0,0,0,0,0,2,3,0,0,0
2020-04-30,0,0,144,0,0,1,0,0,0,0,5,3,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,5,0,0,0,1,0,4,0,0,0,1,0,1,0,0,29,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0
2020-05-01,1,0,129,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,1,1,3,0,0,0,4,0,0,0,0,37,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
2020-05-02,1,0,208,0,0,0,0,1,3,5,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,25,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2020-05-03,0,0,144,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,3,0,0,2,1,2,1,0,1,0,0,0,0,0,1,24,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0
2020-05-04,0,0,119,0,2,2,3,0,0,7,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,1,0,2,0,0,0,0,1,0,0,0,0,18,1,0,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0
2020-05-05,0,0,96,0,0,0,1,0,0,2,0,0,0,2,1,0,0,2,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,3,1,0,0,0,0,0,0,0,0,3,0,1,0,0,37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-06,3,0,78,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,3,0,0,0,0,0,2,0,0,1,0,0,1,2,0,3,0,0,0,0,1,2,0,0,0,3,0,0,0,1,32,0,0,0,1,0,0,0,0,0,3,0,2,0,0,1,0,1
2020-05-07,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-05-08,1,0,100,2,0,1,1,0,0,7,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2020-05-09,0,0,75,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,2,1,0,0,0,0,3,0,0,0,0,24,0,1,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0
2020-05-10,0,0,63,0,0,0,2,1,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,19,1,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0
2020-05-11,1,0,55,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,1,2,0,0,0,4,0,0,0,0,19,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-12,0,1,76,0,0,0,0,0,0,2,0,0,1,2,2,0,0,4,1,0,0,3,0,0,0,1,0,1,0,0,1,1,0,3,0,0,1,0,1,0,0,0,0,3,1,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
2020-05-13,0,0,76,0,1,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,20,0,0,1,1,0,1,0,0,2,0,0,0,0,1,0,0,0
2020-05-14,0,0,100,0,0,0,0,0,0,3,0,1,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,3,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,25,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0
2020-05-15,1,0,110,0,2,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,1,37,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
2020-05-16,1,0,123,0,0,0,0,0,0,12,0,2,0,0,3,0,1,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,1,0,1,0,0,36,0,0,1,0,0,0,2,1,1,1,1,0,0,0,8,2,0
2020-05-17,2,0,83,0,1,0,0,0,0,6,2,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,38,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-18,1,2,69,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,35,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-05-19,4,0,86,0,0,1,0,0,0,4,0,0,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,1,0,0,21,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
