date,Comilla,Sunamganj,Manikganj,Kishoreganj,Kushtia,Sirajganj,Jhenaidah,Rangamati,Chittagong,Nilphamari,Thakurgaon,Pabna,Rajshahi,Cox's Bazar,Chapainawabganj,Maulvibazar,Sylhet,Feni,Tangail,Bagerhat,Chuadanga,Munshiganj,Magura,Kurigram,Netrokona,Meherpur,Narsingdi,Pirojpur,Gopalganj,Mymensingh,Khulna,Jhalokati,Narayanganj,Lakshmipur,Khagrachhari,Noakhali,Natore,Jamalpur,Chandpur,Patuakhali,Rajbari,Jaipurhat,Gazipur,Narail,Sherpur,Unknown,Habiganj,Dhaka,Naogaon,Satkhira,Faridpur,Dinajpur,Shariatpur,Bandarban,Rangpur,Pabna Police line,Bogra,Madaripur,Brahmanbaria,Barguna,Barisal,Bhola,Gaibandha,Jessore,Lalmonirhat,Panchagarh
2020-04-03,3,1,0,0,0,2,0,0,2,2,0,2,1,1,1,2,3,1,1,0,0,0,0,0,1,0,0,0,0,3,3,0,9,2,0,1,1,0,0,0,0,1,5,0,0,0,3,54,0,1,0,1,0,0,4,0,1,1,1,0,1,0,0,0,0,0
2020-04-04,4,0,1,2,2,1,0,0,23,0,8,3,3,2,0,2,0,4,3,1,5,6,0,1,5,0,4,0,0,6,0,0,23,2,0,3,0,2,2,1,2,1,5,0,1,0,3,123,0,1,0,3,0,0,4,0,1,0,0,0,0,1,2,3,0,1
2020-04-05,6,3,1,4,1,0,0,0,29,1,0,1,4,3,2,0,3,4,8,2,1,3,0,1,0,7,4,0,0,5,6,0,9,1,1,3,0,2,1,0,0,0,1,2,1,0,0,152,7,3,0,4,0,0,2,0,5,1,3,0,4,1,2,4,0,0
2020-04-06,12,3,5,3,2,3,9,0,36,2,3,3,9,3,1,2,9,5,7,0,0,2,0,0,2,0,4,5,1,4,22,0,30,0,1,3,1,11,3,0,0,3,16,0,0,0,1,389,4,0,3,0,4,0,4,0,5,3,3,0,8,1,6,14,1,0
2020-04-07,4,0,1,1,1,1,2,1,8,0,1,1,3,6,0,0,4,1,2,0,0,1,0,0,0,1,2,1,1,1,3,0,12,0,0,3,1,0,2,3,0,0,6,0,2,0,0,112,0,1,4,5,2,0,6,0,1,3,1,0,3,1,0,5,0,0
2020-04-08,3,0,0,0,0,0,0,1,3,0,0,0,3,7,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,189,0,3,0,0,1,0,0,0,1,0,1,0,1,0,0,2,0,0
2020-04-09,1,0,3,0,0,1,1,0,6,0,3,0,2,3,1,0,2,1,2,0,0,0,0,0,0,0,3,0,0,4,2,3,4,0,1,1,0,0,2,0,0,0,1,0,1,0,0,46,1,0,1,1,2,0,3,0,1,0,0,0,1,1,0,2,0,0
2020-04-10,0,0,1,1,1,2,0,0,3,0,0,2,0,0,0,0,1,0,4,2,0,1,0,0,0,1,1,0,0,7,1,1,3,0,0,1,0,0,3,0,0,1,1,1,1,155,1,59,1,1,3,2,0,0,2,0,0,0,1,0,0,0,0,1,1,0
2020-04-11,0,0,0,0,0,0,0,0,9,0,0,0,3,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,350,0,30,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
2020-04-12,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,287,0,22,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
2020-04-13,2,0,1,0,0,0,0,0,2,0,0,0,1,0,1,0,3,0,1,1,0,3,0,0,0,0,0,0,0,0,1,0,5,0,0,0,1,0,1,0,0,0,1,0,0,199,0,32,0,1,0,4,0,0,1,0,1,0,1,0,0,0,0,1,0,0
2020-04-14,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,2,2,2,0,0,0,0,0,202,0,22,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0
2020-04-15,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,1,1,1,0,1,0,0,0,0,2,0,0,230,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2020-04-16,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,135,0,18,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2020-04-17,1,0,0,1,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,2,0,0,231,0,24,1,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0
2020-04-18,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,2,4,0,3,0,0,0,0,0,0,0,0,0,2,0,0,182,0,20,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-04-19,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,127,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-20,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,2,1,0,2,0,0,0,0,2,0,0,4,1,0,7,0,0,0,0,2,2,0,0,0,1,0,0,195,0,29,0,4,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2020-04-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,1,0,230,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-04-22,0,0,0,0,1,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,4,0,2,1,0,0,0,0,3,1,0,0,1,0,0,247,0,44,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,2,0,0
2020-04-23,1,0,1,7,0,1,1,1,5,0,0,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,1,0,0,0,0,2,0,0,179,0,29,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-24,0,0,0,0,1,1,0,0,2,0,0,0,0,4,0,0,3,0,4,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,4,1,0,0,4,0,0,183,0,27,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0
2020-04-25,2,0,0,0,0,2,0,0,2,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,136,0,15,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2020-04-26,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,5,1,0,165,1,25,0,0,0,0,0,0,0,0,3,1,1,0,0,1,1,1,2,1
2020-04-27,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,2,31,0,2,0,0,0,0,3,0,1,0,0,0,0,0,0,2,1,0
2020-04-28,1,0,0,2,0,1,2,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,2,18,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
2020-04-29,0,0,1,1,1,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,88,1,26,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-30,4,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,0,0,1,0,0,0,2,0,0,123,0,22,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2020-05-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,0,0,107,0,31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-02,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,365,1,40,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-03,1,0,0,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,213,0,12,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
2020-05-04,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,133,0,16,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-05,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,1,0,2,0,0,2,3,0,0,93,0,18,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0
