date,Comilla,Sunamganj,Manikganj,Kishoreganj,Kushtia,Jhenaidah,Sirajganj,Rangamati,Chittagong,Nilphamari,Thakurgaon,Pabna,Rajshahi,Cox's Bazar,Magura,Sylhet,Munshiganj,Feni,Tangail,Bagerhat,Chapainawabganj,Chuadanga,Maulvibazar,Kurigram,Netrokona,Meherpur,Narsingdi,Pirojpur,Gopalganj,Mymensingh,Khulna,Jhalokati,Narayanganj,Lakshmipur,Khagrachhari,Jamalpur,Natore,Noakhali,Chandpur,Rajbari,Patuakhali,Jaipurhat,Gazipur,Narail,Sherpur,Unknown,Habiganj,Dhaka,Naogaon,Satkhira,Shariatpur,Dinajpur,Faridpur,Bandarban,Rangpur,Bogra,Madaripur,Barguna,Brahmanbaria,Barisal,Bhola,Gaibandha,Jessore,Lalmonirhat,Panchagarh
2020-04-03,2,0,0,0,0,2,0,0,12,0,1,4,1,1,3,3,1,5,1,0,0,0,0,0,1,1,1,0,0,3,1,0,5,3,0,2,2,4,1,0,0,1,3,0,4,0,4,73,1,1,2,0,0,0,0,5,2,1,3,0,2,0,0,0,2
2020-04-04,10,1,1,4,8,2,16,1,26,3,4,11,5,8,0,5,0,2,17,1,3,3,4,1,2,0,3,1,0,4,5,0,27,2,0,3,1,7,7,6,0,0,13,0,2,0,7,164,3,2,1,5,1,0,8,8,3,0,3,13,0,3,6,1,3
2020-04-05,13,2,7,2,0,1,6,0,22,4,0,10,10,5,0,13,3,6,4,3,0,0,1,0,3,0,2,0,8,6,21,1,22,3,0,1,1,10,7,3,6,2,7,0,1,0,2,193,5,3,2,4,2,0,6,8,1,0,2,4,2,6,3,0,1
2020-04-06,18,7,9,2,3,3,3,0,45,8,1,4,10,1,2,9,3,8,3,1,5,2,1,3,1,0,4,3,6,26,10,3,29,0,6,10,2,10,7,0,3,1,23,5,1,0,2,345,5,3,6,9,9,2,8,7,0,3,18,6,2,5,14,2,0
2020-04-07,7,0,5,2,0,2,0,0,15,9,0,3,4,2,2,9,9,1,7,0,0,1,3,0,1,1,0,1,4,0,6,0,14,0,2,3,1,4,1,0,0,2,15,3,1,0,0,158,2,5,1,6,7,0,5,8,2,0,5,5,0,3,8,0,1
2020-04-08,6,0,0,0,0,0,0,0,4,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,3,0,0,6,1,0,2,0,0,1,5,0,0,0,0,0,6,0,1,0,0,272,0,3,3,2,0,0,1,2,0,0,2,3,0,0,0,0,0
2020-04-09,4,0,2,1,2,2,2,1,8,1,1,5,3,1,1,3,2,1,9,1,0,0,0,0,3,0,3,0,0,1,1,2,9,2,4,0,2,0,4,1,0,1,3,0,0,0,2,58,1,0,2,2,8,0,7,2,0,0,0,2,1,3,3,0,0
2020-04-10,3,3,0,3,1,0,1,0,5,1,1,2,2,0,0,6,2,1,5,4,1,1,0,0,0,0,5,0,0,2,0,0,4,0,1,2,0,1,3,0,0,0,1,0,1,164,0,51,3,1,0,2,8,1,8,5,2,0,1,2,0,0,2,1,0
2020-04-11,4,1,0,0,0,0,3,0,10,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,1,1,2,0,1,2,1,0,0,379,0,33,2,1,2,0,1,0,1,2,0,0,2,1,1,0,2,0,2
2020-04-12,0,0,0,1,2,1,0,0,6,3,0,3,0,1,2,1,0,0,3,1,0,0,0,0,0,0,4,0,1,1,4,0,9,0,0,0,0,2,2,0,0,0,4,0,0,501,0,24,5,1,0,2,0,0,1,1,1,0,0,2,2,0,0,0,0
