date,Comilla,Sunamganj,Unknown,Manikganj,Kishoreganj,Kushtia,Jhenaidah,Sirajganj,Rangamati,Chittagong,Nilphamari,Thakurgaon,Pabna,Rajshahi,Cox's Bazar,Magura,Maulvibazar,Munshiganj,Feni,Bagerhat,Sylhet,Tangail,Chapainawabganj,Chuadanga,Kurigram,Netrokona,Meherpur,Narsingdi,Pirojpur,Gopalganj,Mymensingh,Khulna,Jhalokati,Narayanganj,Lakshmipur,Khagrachhari,Jamalpur,Narail,Natore,Chandpur,Noakhali,Patuakhali,Jaipurhat,Gazipur,Rajbari,Sherpur,Ã Â¦ÅÃ Â¦Â¾Ã Â¦Â®Ã Â¦Â¾Ã Â¦Â²Ã Â¦ÂªÃ Â§ÂÃ Â¦Â°,Habiganj,Dhaka,Naogaon,Satkhira,Faridpur,Dinajpur,Shariatpur,Bandarban,Rangpur,Bogra,Madaripur,Brahmanbaria,Barguna,Barisal,Bhola,Jessore,Gaibandha,Lalmonirhat,Panchagarh
2020-04-03,8,0,0,0,4,0,5,2,2,29,3,1,6,4,2,3,3,2,2,1,9,6,0,0,1,0,0,6,0,0,5,6,0,14,4,0,2,3,5,1,6,0,1,8,0,2,0,3,116,2,2,2,4,0,0,2,8,6,3,0,4,4,1,0,2,3
2020-04-04,18,1,0,5,9,14,7,23,1,94,15,5,17,11,19,0,4,1,5,4,30,19,3,5,2,9,3,11,2,8,13,18,1,57,3,4,6,2,0,15,17,3,3,25,7,5,0,8,478,12,7,6,9,2,2,10,16,3,20,1,4,4,11,11,1,1
2020-04-05,39,6,0,14,4,2,1,4,1,116,6,1,7,15,15,3,3,4,16,4,29,19,2,5,1,18,3,12,3,5,19,23,3,55,4,1,4,2,8,24,18,3,4,34,4,4,0,3,484,9,6,11,2,1,1,17,13,6,8,1,21,4,12,9,2,3
2020-04-06,59,12,0,9,10,7,13,18,1,152,9,13,18,21,13,10,10,12,19,1,51,19,12,6,2,5,2,12,8,10,32,36,7,109,7,5,24,5,7,12,15,6,5,48,2,5,0,6,1042,11,10,11,12,12,4,29,33,8,14,5,26,6,31,9,5,0
2020-04-07,20,3,0,2,9,4,4,9,2,56,7,3,12,17,10,8,5,6,2,2,12,8,1,2,3,5,1,8,1,13,12,26,0,38,2,2,3,4,3,3,11,0,2,26,2,0,0,1,391,1,10,8,10,4,0,8,15,5,9,2,13,4,13,2,0,4
2020-04-08,8,0,0,0,4,2,0,0,0,13,0,1,2,4,14,0,0,2,4,0,4,8,2,0,1,2,0,2,0,1,7,1,0,10,0,0,0,0,4,1,2,0,0,10,0,1,1,0,702,2,0,4,1,3,0,3,6,0,3,0,4,0,1,2,2,0
2020-04-09,12,0,0,5,6,3,5,6,1,29,1,2,5,6,1,2,0,3,4,0,7,13,0,1,0,3,1,11,0,1,13,5,3,22,3,2,1,0,2,6,6,0,4,20,4,3,0,3,188,6,2,8,3,1,1,5,3,7,4,0,3,2,3,1,1,2
2020-04-10,11,2,425,5,15,3,4,3,0,29,1,5,6,7,6,1,1,5,8,6,9,10,1,2,2,1,2,11,0,3,7,3,3,16,3,6,4,0,3,5,4,3,1,7,0,4,0,1,185,3,1,8,7,0,1,10,6,0,2,0,7,1,3,1,2,1
2020-04-11,4,0,1092,0,0,2,1,1,0,14,2,0,1,3,0,1,0,1,2,0,1,4,1,0,0,0,3,2,0,0,3,0,0,14,4,0,2,1,1,1,4,1,1,7,0,0,0,1,73,2,2,0,3,1,0,2,2,1,1,1,1,1,3,1,0,0
2020-04-12,0,0,1192,1,4,6,1,0,0,16,0,0,4,2,0,1,2,2,2,2,0,3,0,0,0,1,0,2,0,0,9,7,2,11,2,0,1,1,2,0,2,2,1,12,0,1,0,2,58,3,2,0,1,0,0,1,2,3,3,0,2,4,2,1,2,0
2020-04-13,6,0,824,2,1,0,1,4,0,12,0,2,1,2,1,0,0,0,4,0,4,3,1,3,0,10,1,9,0,3,2,3,0,13,0,0,2,1,3,2,1,0,0,4,0,0,0,0,95,3,1,0,7,2,0,2,2,0,6,0,0,0,1,1,0,2
2020-04-14,9,0,694,1,3,0,0,3,0,13,0,1,2,2,1,1,3,1,4,0,0,1,0,0,0,0,0,0,0,3,0,3,1,10,0,2,2,2,0,0,1,2,0,1,1,1,0,0,68,1,3,0,1,0,0,4,4,0,1,0,3,0,0,4,0,0
