date,Comilla,Sunamganj,Manikganj,Kishoreganj,Kushtia,Jhenaidah,Sirajganj,Rangamati,Chittagong,Nilphamari,Thakurgaon,Pabna,Rajshahi,Cox's Bazar,Chapainawabganj,Magura,Munshiganj,Feni,Sylhet,Tangail,Bagerhat,Chuadanga,Maulvibazar,Kurigram,Netrokona,Meherpur,Narsingdi,Pirojpur,Gopalganj,Mymensingh,Khulna,Jhalokati,Narayanganj,Khagrachhari,Lakshmipur,Noakhali,Natore,Patuakhali,Chandpur,Jamalpur,Rajbari,Jaipurhat,Gazipur,Narail,Sherpur,Unknown,Habiganj,Dhaka,Naogaon,Shariatpur,Faridpur,Dinajpur,Satkhira,Bandarban,Rangpur,Bogra,Madaripur,Barguna,Brahmanbaria,Barisal,Gaibandha,Bhola,Jessore,Lalmonirhat,Panchagarh
2020-04-03,8,0,0,1,0,3,0,0,16,0,1,2,0,3,1,5,1,1,4,2,0,0,0,0,0,0,4,0,0,2,4,0,7,0,0,2,2,1,2,0,0,1,10,0,2,0,3,99,0,1,0,1,0,0,0,4,5,1,3,1,3,0,0,0,3
2020-04-04,12,1,2,6,9,1,13,1,38,3,4,9,3,8,1,0,2,10,6,10,1,2,5,0,5,1,5,3,0,7,8,0,47,3,4,11,4,2,4,4,5,1,10,0,3,0,7,242,4,0,1,4,3,0,9,5,6,0,8,10,5,2,12,0,1
2020-04-05,19,1,6,2,1,0,3,0,41,2,2,5,11,14,1,3,7,2,18,8,3,2,4,1,7,1,13,3,5,10,10,3,31,2,2,9,1,9,9,7,2,3,28,0,2,0,1,273,4,0,2,1,3,0,3,8,5,1,7,5,9,2,4,0,3
2020-04-06,25,5,7,3,5,6,10,0,59,3,2,12,7,8,6,3,3,16,18,7,0,3,6,4,8,3,8,3,3,23,23,1,54,2,2,13,4,5,6,12,1,2,36,5,4,0,1,552,2,9,10,7,9,7,13,18,1,2,20,12,3,1,13,1,0
2020-04-07,6,1,3,2,2,1,4,2,23,4,0,8,8,7,0,2,8,0,8,2,1,2,0,1,2,2,1,1,4,4,7,0,9,0,3,5,0,2,1,2,0,0,18,2,0,0,1,231,3,0,3,3,7,0,4,6,1,1,1,11,1,0,11,0,1
2020-04-08,3,0,0,2,1,0,0,1,9,0,0,0,1,3,0,0,0,2,1,1,0,0,0,0,2,0,3,0,0,4,0,0,4,0,0,0,5,0,0,0,0,0,9,0,2,0,0,381,0,3,1,0,0,0,0,5,0,1,1,5,1,0,0,0,0
2020-04-09,5,0,4,3,1,4,3,0,17,2,1,3,2,1,0,0,2,1,2,18,0,2,0,0,1,0,3,2,1,3,6,2,16,0,1,2,6,0,5,1,0,2,5,0,1,0,2,100,1,2,2,3,0,0,4,5,3,1,0,1,5,0,2,0,1
2020-04-10,1,0,0,5,2,0,1,1,9,0,0,4,3,5,1,0,4,4,1,9,2,1,1,1,3,0,6,1,0,4,6,3,3,6,0,1,3,1,7,1,0,0,2,1,1,215,4,107,3,1,3,1,1,1,5,5,0,0,1,2,0,0,4,0,0
2020-04-11,3,1,0,0,0,0,1,0,12,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,4,0,0,0,1,0,16,0,1,1,1,1,2,0,0,1,4,1,0,593,1,48,1,0,1,0,1,0,1,0,0,0,0,0,2,0,2,0,0
2020-04-12,0,0,0,2,3,1,0,0,11,1,1,0,1,0,0,2,0,0,1,1,1,0,2,1,0,0,1,1,1,0,2,0,11,0,2,2,0,0,2,0,0,0,6,0,0,632,0,41,2,0,0,1,1,0,2,6,2,0,1,1,0,3,0,0,0
2020-04-13,3,0,2,0,0,2,2,0,9,0,0,1,1,0,0,0,1,1,2,0,2,1,0,0,2,0,4,0,0,1,1,0,7,0,0,1,0,0,2,1,0,0,1,0,1,467,0,47,1,1,0,0,0,0,0,2,0,0,2,0,2,0,0,0,1
2020-04-14,5,0,1,2,0,0,1,0,4,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,8,2,0,1,0,2,0,2,1,0,1,0,0,463,0,39,5,0,0,0,2,0,7,0,0,0,0,3,0,0,1,0,0
2020-04-15,4,0,0,12,3,9,1,0,2,6,1,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,2,0,1,2,0,0,3,1,0,1,0,0,1,1,0,0,7,0,0,487,0,48,1,1,0,1,3,0,1,4,0,0,0,1,1,0,1,0,0
2020-04-16,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,2,0,2,0,1,3,2,0,4,0,0,1,0,0,0,0,0,0,3,0,0,269,0,34,0,0,4,0,0,0,1,1,0,0,0,2,2,0,0,0,0
2020-04-17,2,0,1,3,0,0,1,0,14,0,0,0,1,2,2,0,0,0,2,1,0,1,1,0,0,0,1,0,0,3,1,0,4,1,0,0,0,0,2,0,0,0,8,2,0,362,0,63,2,0,1,0,1,0,1,3,0,0,3,2,0,0,0,0,0
2020-04-18,4,0,0,1,2,1,0,0,5,2,0,0,2,2,0,0,0,2,3,0,4,0,0,0,0,0,0,1,0,2,3,0,7,0,1,1,0,0,0,0,0,0,1,0,0,380,0,58,2,0,1,1,0,0,2,1,0,0,0,1,0,0,0,0,0
2020-04-19,1,0,1,0,0,0,1,0,3,0,0,0,0,1,0,0,1,0,2,3,1,0,0,0,0,0,1,0,0,1,0,0,4,0,1,0,1,1,0,1,0,0,3,0,0,262,0,30,2,0,1,2,2,0,4,2,0,0,0,1,0,0,1,0,0
2020-04-20,3,0,1,0,0,1,1,0,19,0,3,1,2,2,1,0,1,1,2,2,2,1,1,0,1,0,0,2,0,3,2,0,9,0,0,0,0,0,4,1,0,0,12,0,4,454,0,80,1,0,1,4,0,0,4,4,0,0,1,1,0,0,0,1,0
2020-04-21,10,0,0,6,0,0,1,1,7,0,0,3,2,2,1,0,1,2,8,8,1,0,1,0,0,0,3,0,0,8,0,0,7,0,0,4,0,2,0,2,0,1,15,0,0,565,0,84,1,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0
2020-04-22,2,1,0,7,4,1,1,0,13,0,1,0,1,0,0,0,2,1,2,1,1,6,0,0,1,1,1,0,0,8,5,0,8,0,0,1,1,0,3,1,0,0,2,0,0,548,1,69,1,0,0,1,0,0,1,6,6,6,1,2,0,0,3,0,0
2020-04-23,2,0,0,1,2,1,1,0,12,0,0,0,2,2,1,0,1,1,3,4,0,0,0,2,0,0,1,0,2,2,3,0,6,0,1,2,0,0,1,2,0,0,17,0,0,371,1,62,0,1,1,5,0,0,4,9,0,0,1,1,0,0,2,1,0
2020-04-24,4,1,0,4,1,2,1,0,13,0,0,4,3,6,4,0,2,0,4,3,2,2,1,0,0,3,0,1,0,4,0,0,1,0,0,5,1,0,3,2,0,0,6,0,2,461,0,60,1,0,1,0,0,1,1,1,5,0,0,5,4,0,3,0,1
2020-04-25,5,0,1,1,0,0,3,0,3,0,1,5,1,2,1,1,0,0,4,3,2,0,0,0,0,0,2,0,0,1,1,0,8,0,0,1,0,0,2,0,0,1,4,1,0,372,0,37,0,0,1,3,0,0,2,3,0,0,0,1,0,0,0,1,0
2020-04-26,1,0,0,1,2,1,2,0,6,0,0,1,0,2,0,0,0,2,2,2,3,0,0,0,1,0,2,1,0,5,1,0,1,1,0,1,0,2,1,1,0,0,2,1,0,277,0,42,1,0,0,2,0,0,2,1,2,0,0,1,0,1,0,0,1
2020-04-27,1,0,0,1,6,1,0,0,4,0,0,3,0,0,0,0,5,1,0,5,1,0,0,0,1,0,0,1,1,0,0,0,2,1,0,0,1,0,1,3,2,0,4,0,1,312,1,52,1,4,0,1,0,0,3,2,0,0,1,2,0,0,2,1,0
2020-04-28,1,1,0,0,1,1,2,0,7,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,3,0,0,3,0,0,1,1,1,0,1,0,0,3,0,0,206,2,44,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,0,0
2020-04-29,6,0,0,0,2,1,0,0,8,0,0,2,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,2,0,4,0,0,1,2,0,2,4,0,0,1,1,0,226,0,46,0,0,3,0,0,0,1,5,0,0,0,0,0,2,1,0,0
2020-04-30,0,0,1,0,0,0,0,1,6,0,2,2,1,0,1,0,0,2,0,2,0,0,0,0,2,0,0,1,0,1,0,0,9,0,0,0,1,0,2,0,0,0,6,0,1,260,1,45,0,0,0,2,0,0,1,2,1,0,0,0,0,0,0,0,0
2020-05-01,1,0,0,0,0,0,0,1,5,0,0,3,2,0,0,1,0,0,2,1,0,2,0,0,2,0,0,0,1,2,1,0,6,0,0,4,0,0,0,0,0,0,4,0,1,271,0,60,2,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
2020-05-02,3,0,0,1,0,3,0,0,4,1,0,0,0,0,0,0,3,2,3,0,1,0,0,0,0,0,2,1,0,2,0,0,3,0,1,0,0,0,2,0,0,0,4,0,0,439,0,57,4,1,1,2,0,0,0,4,1,0,0,1,0,2,1,0,0
2020-05-03,0,0,0,0,2,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,0,0,3,0,0,3,0,0,0,1,1,0,5,0,0,272,0,27,0,0,2,0,0,0,0,1,0,0,1,1,0,1,0,0,0
2020-05-04,0,0,1,1,1,0,3,0,1,0,0,0,0,3,1,0,1,1,1,0,0,1,0,0,2,0,0,0,0,1,0,0,1,0,1,2,0,0,0,2,0,0,1,0,0,233,1,41,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
2020-05-05,2,0,0,0,0,0,0,1,5,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,3,0,1,1,0,3,1,0,4,0,1,1,0,0,0,1,0,0,3,2,0,163,0,61,1,0,1,1,1,0,2,0,0,0,0,2,0,0,2,0,1
2020-05-06,0,0,0,0,1,1,2,0,9,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,3,0,1,0,0,0,0,0,0,1,0,0,2,0,0,174,0,63,2,0,0,4,0,0,1,0,0,0,5,1,0,0,2,0,0
2020-05-07,0,0,0,0,2,0,2,0,4,0,1,1,0,3,0,0,2,3,0,1,1,0,0,1,0,1,2,0,1,0,1,0,5,0,1,2,0,0,1,0,0,0,5,0,0,180,1,40,0,0,1,3,0,1,0,2,0,0,0,1,0,0,0,0,0
2020-05-08,1,0,1,1,0,1,0,0,5,0,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,3,0,1,1,1,1,1,3,0,0,0,0,1,3,1,0,1,0,0,172,0,32,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2020-05-09,0,0,2,0,0,0,1,0,2,0,0,0,0,1,0,1,0,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,6,0,0,1,0,0,1,0,0,0,1,0,0,125,1,33,1,0,1,1,0,0,0,1,1,0,0,2,1,0,0,2,0
2020-05-10,2,0,1,0,2,1,0,0,5,0,0,0,4,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,3,1,0,0,0,1,0,0,0,6,0,0,104,1,28,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-11,1,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,1,0,4,1,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,3,0,0,112,0,39,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2020-05-12,1,1,0,0,0,0,0,0,5,0,0,1,1,0,1,0,0,3,3,1,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,2,1,0,2,0,1,0,6,0,0,163,1,44,0,0,1,0,0,0,2,0,0,0,0,1,1,0,1,0,0
2020-05-13,4,0,1,1,0,0,0,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,2,0,1,0,1,2,0,3,0,0,125,0,34,2,1,0,0,0,0,1,3,1,1,0,1,0,0,0,0,0
2020-05-14,2,0,0,0,2,1,1,1,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,3,0,0,149,0,30,0,0,1,0,0,0,3,1,0,0,3,1,0,0,0,0,0
2020-05-15,1,0,0,2,0,0,0,0,2,0,0,0,3,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,2,1,0,0,5,0,0,117,1,37,1,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0
2020-05-16,1,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,2,0,0,2,2,0,4,0,1,3,0,0,0,0,0,1,6,0,0,169,0,35,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0,0
2020-05-17,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,2,2,1,0,0,0,1,0,0,0,1,0,0,2,1,0,3,0,1,1,0,0,0,0,0,0,3,0,1,120,0,53,1,0,1,0,0,0,2,2,0,0,0,0,2,0,1,0,0
2020-05-18,1,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,5,0,0,0,0,0,0,142,0,41,1,0,1,3,0,0,0,0,0,1,0,1,0,0,6,0,1
2020-05-19,3,0,0,1,1,0,0,0,4,0,0,1,0,2,1,0,0,0,3,1,0,0,0,1,0,1,0,1,0,4,0,0,4,0,0,0,2,0,0,0,0,0,1,0,2,123,0,37,0,0,0,0,1,0,0,1,0,0,1,1,2,0,0,0,0
2020-05-20,1,0,0,0,0,0,0,0,16,0,0,1,0,0,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,0,4,0,0,131,0,33,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0
2020-05-21,0,0,1,1,0,0,0,0,2,0,1,1,0,0,0,0,1,0,2,2,0,0,1,0,1,0,1,0,1,0,1,0,7,0,0,0,2,1,4,2,0,0,14,1,0,285,1,72,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,1
2020-05-22,1,0,0,0,0,1,0,1,8,0,0,1,1,0,1,0,1,6,2,2,0,1,0,0,0,0,1,0,0,1,1,1,6,0,2,0,1,0,1,0,0,0,2,0,0,211,0,42,0,0,2,1,1,0,0,1,0,0,0,2,0,0,1,0,2
2020-05-23,2,1,0,1,1,0,0,0,8,0,0,3,0,0,0,0,0,1,2,1,0,0,0,0,0,0,4,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,2,0,0,183,0,45,2,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
