date,Comilla,Sunamganj,Manikganj,Kishoreganj,Kushtia,Jhenaidah,Sirajganj,Rangamati,Chittagong,Nilphamari,Thakurgaon,Pabna,Rajshahi,Cox's Bazar,Maulvibazar,Tangail,Sylhet,Chuadanga,Bagerhat,Feni,Chapainawabganj,Munshiganj,Magura,Kurigram,Netrokona,Meherpur,Narsingdi,Pirojpur,Gopalganj,Mymensingh,Khulna,Jhalokati,Narayanganj,Lakshmipur,Khagrachhari,Noakhali,Natore,Jamalpur,Chandpur,Narail,Patuakhali,Jaipurhat,Gazipur,Rajbari,Sherpur,Unknown,Habiganj,Dhaka,Naogaon,Shariatpur,Satkhira,Dinajpur,Faridpur,Bandarban,Rangpur,Bogra,Madaripur,Brahmanbaria,Barguna,Barisal,Bhola,Gaibandha,Jessore,Lalmonirhat,Panchagarh
2020-04-03,3,0,0,0,0,1,3,0,6,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,0,6,0,0,3,1,0,1,0,0,0,3,0,1,0,2,40,0,2,0,2,0,0,0,6,2,0,0,0,1,0,0,0,2
2020-04-04,7,0,2,3,2,1,5,0,21,2,0,3,0,4,4,2,3,1,1,2,0,0,0,1,2,2,8,1,0,4,6,0,31,2,0,8,1,2,3,2,1,1,11,1,2,0,2,106,0,0,1,4,0,0,5,7,0,4,0,1,1,2,2,0,1
2020-04-05,14,1,2,0,4,1,2,0,18,0,0,1,2,8,3,5,7,1,2,4,2,2,0,0,6,0,6,3,2,3,6,1,17,0,0,9,0,7,6,0,0,0,13,2,1,0,2,138,1,0,2,2,2,0,1,6,1,6,0,3,8,2,8,0,1
2020-04-06,19,6,1,3,2,6,11,0,19,5,0,6,1,7,2,0,13,1,0,5,0,1,1,0,2,0,5,1,4,16,17,1,33,1,3,12,2,11,5,0,0,0,20,0,1,0,1,248,2,0,0,5,3,0,4,5,0,4,3,3,3,2,2,1,0
2020-04-07,8,1,3,1,0,0,5,0,20,3,0,2,4,0,1,2,3,0,0,0,0,2,1,0,3,0,1,2,0,0,4,0,9,2,0,1,1,1,2,0,0,0,8,2,0,0,1,103,1,0,0,0,2,0,4,7,1,2,0,6,2,1,4,0,1
2020-04-08,1,0,0,0,0,0,0,0,3,0,0,1,0,2,0,2,0,0,0,4,0,1,0,0,2,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,185,0,0,1,0,0,0,1,2,0,1,0,0,0,2,0,0,0
2020-04-09,3,0,3,0,1,1,1,0,3,1,1,1,2,1,0,4,1,0,1,1,0,0,1,0,0,0,3,0,0,5,2,1,12,1,3,1,0,1,2,0,0,2,7,1,1,0,1,58,1,0,0,1,3,0,0,1,0,1,0,1,1,1,0,0,0
2020-04-10,0,0,4,2,1,0,0,0,4,0,1,0,1,0,1,4,0,0,1,3,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,3,1,1,3,0,0,0,5,0,2,108,0,41,2,0,1,1,3,1,3,1,0,1,0,1,0,0,0,0,0
2020-04-11,3,0,0,0,1,0,1,0,7,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,4,0,0,0,2,0,2,1,0,0,0,0,0,292,0,25,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
2020-04-12,1,0,0,4,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4,1,1,7,0,0,0,0,0,0,0,0,0,2,0,0,369,0,26,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0
