date,Comilla,Sunamganj,Manikganj,Kishoreganj,Kushtia,Jhenaidah,Sirajganj,Rangamati,Chittagong,Nilphamari,Thakurgaon,Pabna,Rajshahi,Cox's Bazar,Chapainawabganj,Sylhet,Munshiganj,Tangail,Feni,Maulvibazar,Chuadanga,Magura,Bagerhat,Kurigram,Netrokona,Meherpur,Narsingdi,Pirojpur,Gopalganj,Mymensingh,Khulna,Jhalokati,Narayanganj,Khagrachhari,Lakshmipur,Noakhali,Narail,Natore,Chandpur,Jamalpur,Rajbari,Patuakhali,Gazipur,Jaipurhat,Sherpur,Unknown,Habiganj,Dhaka,Naogaon,Satkhira,Faridpur,Dinajpur,Shariatpur,Bandarban,Rangpur,Bogra,Madaripur,Brahmanbaria,Barguna,Barisal,Bhola,Jessore,Gaibandha,Lalmonirhat,Panchagarh
2020-04-03,2,0,1,3,0,2,1,0,12,1,1,1,1,0,1,4,1,2,0,0,0,0,0,1,0,0,2,0,0,0,1,0,3,0,0,2,1,1,1,0,0,0,3,0,1,0,2,62,1,1,2,0,0,0,0,3,0,1,0,2,0,1,0,0,3
2020-04-04,5,0,0,0,6,3,5,0,40,5,4,4,1,0,0,5,0,2,6,0,0,0,0,1,3,3,0,2,3,3,6,1,6,1,4,7,0,0,0,2,8,0,9,0,0,0,3,111,3,1,2,3,0,0,4,5,0,0,0,0,2,2,4,0,3
2020-04-05,8,2,2,0,2,1,3,0,31,1,3,3,6,5,3,7,2,7,4,3,0,0,0,0,3,4,1,2,4,5,3,1,21,1,2,2,1,1,4,8,0,2,7,0,1,0,0,114,1,2,2,6,2,0,3,3,0,3,0,4,2,3,0,0,0
2020-04-06,20,1,1,5,3,2,3,0,47,1,1,3,8,1,2,10,3,5,3,2,1,0,0,0,0,0,5,0,1,3,3,1,33,3,2,3,1,0,5,2,2,0,17,1,1,0,0,273,5,2,2,3,0,1,7,6,3,2,1,3,2,6,2,1,0
2020-04-07,2,1,0,3,0,1,0,0,9,3,1,3,7,5,0,2,1,10,0,1,0,0,0,0,1,1,4,1,0,5,3,0,7,0,0,0,1,2,4,1,2,1,8,0,0,0,1,95,2,2,3,4,1,0,0,3,2,1,0,3,0,4,4,0,0
2020-04-08,1,0,0,0,0,0,2,0,4,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,3,3,0,6,0,0,0,0,0,1,0,0,0,1,0,1,0,0,198,0,0,2,1,0,0,1,0,0,1,0,2,0,1,1,0,0
2020-04-09,2,0,0,0,0,1,0,0,2,1,1,2,2,1,0,0,0,3,1,0,0,1,0,0,2,0,1,1,1,2,1,2,14,0,3,4,0,5,4,1,0,0,5,4,1,0,0,56,2,2,5,2,0,0,2,2,0,2,0,0,1,0,1,0,0
2020-04-10,1,4,0,1,1,0,1,0,5,0,1,2,0,0,0,1,2,3,1,0,0,0,3,0,0,0,3,0,1,2,1,0,10,0,0,2,0,1,1,1,0,0,0,0,1,103,1,52,1,0,3,0,0,1,3,1,0,1,0,1,0,4,0,0,0
2020-04-11,2,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,4,6,0,1,0,0,0,0,0,0,1,3,0,0,315,1,23,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-04-12,0,0,0,1,0,1,0,0,3,3,1,0,1,0,0,0,1,5,0,1,0,1,1,0,0,0,2,0,0,2,2,0,2,0,0,0,0,0,0,0,0,1,2,0,0,390,1,23,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0
