date,Comilla,Sunamganj,Manikganj,Kishoreganj,Kushtia,Sirajganj,Jhenaidah,Rangamati,Chittagong,Nilphamari,Thakurgaon,Pabna,Rajshahi,Cox's Bazar,Sylhet,Tangail,Chapainawabganj,Feni,Bagerhat,Magura,Maulvibazar,Munshiganj,Chuadanga,Kurigram,Netrokona,Meherpur,Narsingdi,Pirojpur,Gopalganj,Mymensingh,Khulna,Jhalokati,Narayanganj,Lakshmipur,Khagrachhari,Jamalpur,Narail,Natore,Chandpur,Noakhali,Rajbari,Jaipurhat,Gazipur,Patuakhali,Sherpur,Unknown,Habiganj,Dhaka,Naogaon,Satkhira,Faridpur,Dinajpur,Shariatpur,Bandarban,Rangpur,Madaripur,Bogra,Brahmanbaria,Barguna,Barisal,Bhola,Gaibandha,Jessore,Lalmonirhat,Panchagarh
2020-04-03,1,1,0,1,0,1,0,0,4,0,0,1,0,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,0,0,0,1,1,0,0,0,3,1,0,0,0,3,22,0,0,0,1,0,0,3,1,0,0,0,0,1,0,0,0,0
2020-04-04,4,0,0,0,5,3,0,0,6,0,1,0,1,1,4,2,2,1,0,0,0,0,0,0,0,0,0,0,1,4,4,0,18,2,0,1,0,0,4,2,1,0,3,0,0,0,0,67,0,0,0,1,0,0,3,2,4,0,0,1,0,2,3,0,0
2020-04-05,5,2,1,1,3,1,1,0,10,0,0,1,5,3,4,2,1,5,2,0,0,0,0,0,0,0,1,0,0,3,2,0,2,0,0,0,0,0,0,3,0,0,0,1,1,0,0,91,3,0,1,3,0,0,1,9,1,2,0,3,0,0,4,0,0
2020-04-06,14,1,1,0,1,4,2,0,28,1,1,4,2,1,7,2,0,3,0,1,1,2,0,0,1,0,2,0,1,2,6,1,12,0,0,3,0,1,0,4,0,0,13,1,0,0,1,153,3,2,0,1,1,0,2,1,4,2,0,4,1,2,7,0,1
2020-04-07,2,0,0,0,1,0,1,0,9,0,0,0,2,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,2,0,2,0,2,1,0,1,0,0,1,0,0,0,3,0,1,0,0,62,0,1,2,4,0,0,2,1,0,0,0,0,0,0,4,0,0
2020-04-08,0,0,0,0,0,0,0,1,0,0,0,1,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,93,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0
2020-04-09,4,0,5,1,0,0,0,0,1,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,3,0,0,1,1,0,0,0,0,22,1,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0
2020-04-10,0,0,3,0,0,0,0,0,1,0,0,0,1,0,1,3,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,68,1,26,1,1,4,5,0,1,0,0,1,1,0,0,0,0,2,0,0
2020-04-11,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,221,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-04-12,0,0,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,3,0,0,186,0,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
