date,Comilla,Sunamganj,Manikganj,Kishoreganj,Kushtia,Sirajganj,Jhenaidah,Rangamati,Chittagong,Nilphamari,Thakurgaon,Pabna,Rajshahi,Cox's Bazar,Sylhet,Tangail,Munshiganj,Chapainawabganj,Bagerhat,Feni,Maulvibazar,Chuadanga,Magura,Kurigram,Netrokona,Meherpur,Narsingdi,Pirojpur,Gopalganj,Mymensingh,Khulna,Jhalokati,Narayanganj,Lakshmipur,Khagrachhari,Jamalpur,Narail,Natore,Chandpur,Noakhali,Patuakhali,Jaipurhat,Gazipur,Rajbari,Sherpur,Unknown,Habiganj,Dhaka,Naogaon,Satkhira,Faridpur,Dinajpur,Shariatpur,Bandarban,Rangpur,Bogra,Madaripur,Brahmanbaria,Barguna,Barisal,Gaibandha,Jessore,Bhola,Lalmonirhat,Panchagarh
2020-04-03,1,1,0,0,0,2,0,0,10,2,0,1,0,0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,1,1,2,1,2,1,1,7,0,2,0,0,67,0,0,1,5,0,0,0,4,1,1,0,1,1,1,0,0,3
2020-04-04,8,0,1,3,4,7,0,0,22,1,8,5,5,6,9,7,0,2,4,5,1,0,0,3,3,1,4,0,0,5,5,0,20,2,0,1,0,2,1,5,1,0,13,2,0,0,6,200,2,1,2,3,0,0,3,5,1,2,0,0,5,4,1,2,1
2020-04-05,5,3,3,6,2,0,0,0,40,0,0,4,13,8,11,4,7,0,2,8,0,0,0,0,3,9,5,0,0,8,8,0,14,1,0,1,0,1,3,5,0,0,10,0,0,0,1,223,1,3,2,5,0,0,4,5,11,7,0,1,2,5,0,0,0
2020-04-06,13,2,4,5,5,8,9,1,69,1,2,6,15,8,20,7,7,1,0,11,3,3,5,3,2,1,3,3,1,9,31,0,21,3,2,10,3,2,0,12,1,3,24,0,1,0,4,575,13,1,5,3,3,0,6,12,2,5,2,8,4,9,1,1,1
2020-04-07,13,1,2,0,1,4,0,0,17,2,0,0,6,3,1,3,2,0,0,1,0,0,2,0,6,0,1,0,5,3,14,0,11,2,0,0,0,5,1,5,0,0,8,0,2,0,0,220,0,3,2,9,1,0,11,3,2,2,0,3,1,5,1,0,1
2020-04-08,1,0,0,0,1,0,0,0,4,0,0,0,4,7,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,6,0,0,0,0,0,0,0,0,0,4,1,1,0,0,308,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,2,0
2020-04-09,3,0,2,2,0,0,0,3,1,0,0,0,1,5,2,8,0,0,1,1,0,0,0,0,0,0,1,0,0,2,2,2,12,1,1,4,1,0,4,1,1,0,3,1,2,0,0,93,2,1,3,4,2,0,2,2,0,0,0,1,1,4,1,1,1
2020-04-10,0,1,1,3,1,1,1,0,10,0,0,3,1,2,3,6,1,0,0,2,1,0,1,0,0,1,0,0,0,1,3,0,3,1,5,0,3,0,3,1,0,1,7,0,0,218,0,83,2,1,1,6,0,1,2,2,2,1,0,0,2,1,0,0,0
2020-04-11,0,0,0,1,0,0,0,2,5,0,0,0,2,0,0,2,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,5,1,0,532,0,50,0,2,0,0,0,0,2,0,0,2,0,0,0,3,0,0,0
2020-04-12,0,0,0,0,0,0,1,0,4,0,1,1,0,0,0,1,0,0,1,1,2,0,0,0,0,0,1,0,0,4,3,0,1,1,0,0,0,0,0,0,1,0,4,0,1,468,1,42,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0
2020-04-13,2,0,1,0,0,0,0,0,6,0,1,4,0,0,0,1,0,3,2,1,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0,1,0,0,340,0,47,1,0,0,0,0,0,3,0,0,2,2,0,1,1,0,0,0
2020-04-14,2,0,0,0,0,0,0,0,3,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,2,0,1,3,1,0,0,0,1,0,2,0,0,270,0,23,0,0,0,1,0,0,1,1,0,1,0,0,4,0,0,0,1
2020-04-15,0,0,0,0,2,1,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,1,2,0,0,1,0,0,0,0,0,327,0,33,1,1,0,1,1,0,5,0,0,0,0,0,0,2,0,0,0
2020-04-16,0,0,0,4,1,0,0,0,3,0,0,1,0,1,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,4,3,0,2,0,0,1,1,0,0,3,0,0,2,0,0,232,0,32,0,1,0,1,0,0,0,1,0,0,0,2,1,1,0,0,0
2020-04-17,1,0,0,2,0,0,0,0,12,0,0,0,6,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,4,1,0,0,2,0,0,264,0,37,1,0,1,1,0,0,0,3,0,2,0,0,0,0,0,0,0
2020-04-18,0,0,0,1,5,0,0,0,4,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,6,1,3,0,3,0,0,0,0,0,0,0,1,0,0,272,0,32,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-04-19,1,0,0,1,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,196,0,21,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0
2020-04-20,3,0,1,0,3,1,0,0,5,2,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,2,0,5,0,0,8,1,0,3,0,0,0,0,0,0,3,0,3,316,0,60,1,4,2,2,0,1,1,3,0,0,0,0,0,0,0,0,0
2020-04-21,0,0,0,3,1,1,1,0,5,0,0,1,5,1,2,0,0,0,0,2,1,0,0,0,0,0,3,0,0,1,0,0,2,1,0,0,0,0,0,3,1,0,5,0,0,431,0,49,1,0,0,0,0,0,1,1,0,0,1,0,0,0,3,1,0
2020-04-22,1,1,1,2,1,2,0,0,4,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,7,1,1,0,0,0,1,0,1,3,0,0,5,0,0,346,0,60,0,3,1,0,0,0,1,2,0,0,4,4,0,2,0,0,0
2020-04-23,1,0,2,3,2,3,0,1,5,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,1,0,5,2,0,0,0,0,1,2,0,0,2,0,0,269,0,50,0,0,0,3,0,0,1,0,0,0,0,3,0,1,0,0,0
2020-04-24,3,2,0,0,0,1,0,0,5,0,0,0,1,4,4,2,1,1,0,0,0,1,0,0,1,0,0,0,0,1,2,0,4,0,0,0,0,4,0,1,0,0,6,0,0,270,0,41,0,0,1,0,0,1,3,0,0,0,0,3,0,2,0,0,1
2020-04-25,0,0,0,0,1,2,0,0,1,1,0,4,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,1,0,1,4,0,0,214,0,37,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,1,0
2020-04-26,1,0,0,1,0,0,0,0,5,0,0,3,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,5,2,0,3,0,0,0,1,0,0,2,1,0,6,0,0,202,1,30,0,0,1,2,0,0,0,2,2,1,0,2,2,0,1,2,0
2020-04-27,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,205,0,27,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-04-28,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,1,1,0,0,1,0,0,0,0,0,142,2,25,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
2020-04-29,0,0,0,0,0,0,1,0,4,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,1,0,0,0,1,0,0,0,0,4,0,0,141,0,30,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0
2020-04-30,1,0,1,0,0,0,0,0,1,0,3,1,0,0,0,3,0,0,0,0,2,0,2,0,0,0,0,1,0,2,2,0,2,0,0,0,0,0,1,1,0,0,5,0,0,188,0,38,0,0,0,2,0,0,1,0,0,0,0,1,0,2,0,0,0
2020-05-01,6,1,0,0,0,0,0,1,0,0,0,2,2,0,1,0,3,0,0,0,0,1,0,0,2,0,0,0,2,2,0,0,2,0,0,1,0,0,0,0,0,0,5,0,0,174,0,38,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2020-05-02,1,0,0,1,1,0,0,0,3,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,576,0,54,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
