date,Comilla,Sunamganj,Manikganj,Kishoreganj,Kushtia,Jhenaidah,Sirajganj,Rangamati,Chittagong,Nilphamari,Thakurgaon,Pabna,Rajshahi,Cox's Bazar,Chapainawabganj,Sylhet,Munshiganj,Feni,Tangail,Bagerhat,Chuadanga,Magura,Maulvibazar,Kurigram,Netrokona,Meherpur,Narsingdi,Pirojpur,Gopalganj,Mymensingh,Khulna,Jhalokati,Narayanganj,Lakshmipur,Khagrachhari,Noakhali,Natore,Patuakhali,Chandpur,Jamalpur,Narail,Jaipurhat,Gazipur,Rajbari,Sherpur,Unknown,Habiganj,Dhaka,Naogaon,Satkhira,Faridpur,Dinajpur,Shariatpur,Bandarban,Rangpur,Bogra,Madaripur,Barguna,Brahmanbaria,Gaibandha,Bhola,Jessore,Barisal,Lalmonirhat,Panchagarh
2020-04-03,2,1,0,1,0,1,1,0,7,1,0,3,0,0,1,2,1,1,4,0,0,0,0,0,0,1,2,0,1,4,1,0,14,1,0,2,3,3,4,0,0,0,6,0,2,0,2,80,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,2,2
2020-04-04,6,1,1,3,11,3,18,0,41,2,1,12,4,10,2,14,2,6,13,4,4,1,1,2,4,2,8,1,3,5,3,0,16,6,2,6,2,3,8,5,3,2,18,4,1,0,8,228,6,7,2,8,0,0,10,10,2,3,5,7,7,1,3,0,2
2020-04-05,16,4,6,3,1,0,1,0,39,2,1,13,5,7,2,7,3,10,6,2,0,1,0,1,4,1,8,4,8,9,19,0,17,3,3,10,3,0,7,10,1,2,28,0,5,0,2,207,6,5,5,7,1,1,6,8,3,2,3,10,3,8,7,1,1
2020-04-06,29,2,5,12,6,10,13,3,68,4,3,11,13,12,1,33,2,10,9,1,4,1,5,1,1,2,12,1,3,13,24,3,53,8,6,10,6,0,7,16,0,2,35,0,5,0,2,580,9,2,7,12,7,2,15,7,1,2,8,5,3,7,20,6,0
2020-04-07,13,2,4,0,2,4,4,0,30,8,1,8,4,6,1,6,2,4,8,1,0,6,2,0,0,2,5,0,1,1,9,2,20,0,0,5,3,5,0,2,0,2,19,2,1,0,0,231,1,0,4,6,1,0,7,5,3,0,3,3,0,10,6,0,3
2020-04-08,5,0,0,1,2,1,0,0,4,0,0,0,1,9,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,8,2,0,6,0,0,0,0,0,1,0,0,0,3,0,1,0,0,344,0,0,0,3,0,0,0,0,0,0,6,2,0,0,1,3,0
2020-04-09,4,0,0,2,0,2,2,0,13,0,1,4,1,2,0,2,2,3,5,1,1,0,0,0,2,0,4,3,1,2,3,1,17,0,4,3,1,1,5,0,1,0,9,5,0,0,4,89,2,0,2,2,1,0,6,3,4,1,1,0,1,3,2,2,0
2020-04-10,5,0,2,1,4,4,2,0,7,0,0,1,3,1,1,3,2,3,8,4,2,0,0,1,1,0,4,1,2,4,2,0,4,1,2,2,0,0,4,1,0,3,5,0,0,263,0,111,1,3,0,3,0,0,9,2,4,0,1,0,0,2,7,0,1
2020-04-11,3,1,0,1,0,0,1,0,6,0,0,0,1,0,1,2,0,2,1,0,2,0,1,1,0,0,2,0,1,1,1,2,5,0,0,3,1,0,2,1,0,1,1,0,0,545,0,40,3,3,0,1,0,0,1,3,0,1,0,1,0,1,2,0,0
2020-04-12,2,0,0,0,2,0,0,0,5,1,0,1,0,0,0,1,2,0,0,1,0,1,2,2,0,0,0,0,0,4,2,1,2,0,0,1,0,1,2,1,1,1,4,0,0,624,0,41,4,2,0,2,0,0,2,3,2,0,1,0,3,1,1,0,0
2020-04-13,2,0,3,2,0,1,3,0,3,1,0,0,2,1,0,1,1,1,2,1,1,0,0,0,2,0,0,0,1,1,1,0,10,0,0,0,0,0,1,1,0,0,3,0,0,395,1,51,2,0,1,4,2,0,2,0,0,0,5,0,0,0,0,0,0
2020-04-14,4,0,0,0,1,0,1,0,12,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,2,1,2,0,6,0,0,2,1,1,0,0,0,0,2,1,0,340,0,26,0,1,0,0,0,0,4,5,0,1,0,0,1,0,0,0,0
2020-04-15,0,0,0,2,2,0,1,0,10,0,0,0,1,0,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,3,0,3,1,1,1,0,0,1,1,0,1,2,0,0,388,3,38,0,1,0,0,1,0,0,0,0,0,0,2,0,1,1,0,0
2020-04-16,1,1,0,5,1,0,0,0,6,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,2,0,2,0,0,3,0,0,0,3,1,0,1,0,0,170,0,19,0,2,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0
2020-04-17,3,0,2,2,2,0,3,0,8,0,0,1,0,1,1,2,0,2,3,0,0,0,1,0,1,1,0,0,0,2,2,0,2,0,0,0,0,1,1,0,0,0,7,1,0,331,0,39,4,1,0,0,0,0,1,0,0,0,1,0,0,0,4,0,0
2020-04-18,3,0,0,0,0,0,0,0,5,0,0,2,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,4,0,2,0,0,0,0,0,0,0,0,0,5,0,1,315,1,25,0,0,0,2,0,0,0,1,0,1,0,0,0,0,2,0,0
2020-04-19,5,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,2,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,223,0,22,3,1,0,1,0,0,2,2,0,0,0,0,0,0,1,0,0
2020-04-20,4,0,1,0,1,0,2,0,5,0,0,0,0,0,1,3,2,0,0,2,0,0,1,1,1,0,0,0,1,5,3,0,10,2,0,0,0,0,1,2,0,0,3,0,0,370,0,38,0,5,0,2,0,0,2,1,0,0,0,0,1,0,0,0,0
