date,Comilla,Sunamganj,Unknown,Manikganj,Kishoreganj,Kushtia,Jhenaidah,Sirajganj,Rangamati,Chittagong,Nilphamari,Thakurgaon,Pabna,Rajshahi,Cox's Bazar,Chapainawabganj,Magura,Maulvibazar,Tangail,Bagerhat,Chuadanga,Feni,Sylhet,Munshiganj,Kurigram,Netrokona,Meherpur,Narsingdi,Pirojpur,Gopalganj,Mymensingh,Khulna,Jhalokati,Narayanganj,Khagrachhari,Lakshmipur,Noakhali,Narail,Natore,Chandpur,Patuakhali,Jamalpur,Rajbari,Gazipur,Jaipurhat,Sherpur,Ã Â¦ÅÃ Â¦Â¾Ã Â¦Â®Ã Â¦Â¾Ã Â¦Â²Ã Â¦ÂªÃ Â§ÂÃ Â¦Â°,Habiganj,Dhaka,Naogaon,Satkhira,Faridpur,Dinajpur,Shariatpur,Bandarban,Rangpur,Bogra,Madaripur,Barguna,Brahmanbaria,Gaibandha,Bhola,Jessore,Barisal,Lalmonirhat,Panchagarh
2020-04-03,4,0,0,1,2,0,2,1,0,9,0,0,1,2,1,1,3,2,1,0,0,0,0,0,2,0,0,1,1,0,1,4,0,14,0,0,3,1,3,7,1,0,0,7,0,4,0,2,79,1,1,3,7,0,0,0,2,5,1,1,0,0,0,0,0,0
2020-04-04,10,2,0,2,7,3,1,10,0,22,4,3,10,3,3,1,0,4,8,5,3,6,14,0,2,3,0,6,3,1,1,4,0,18,2,2,13,3,3,4,3,9,8,23,0,3,0,5,202,0,2,3,10,0,0,10,11,3,0,11,6,2,5,0,0,2
2020-04-05,24,3,0,4,0,4,0,2,0,42,2,0,7,11,11,2,1,3,4,2,2,9,16,5,0,3,2,8,1,2,6,12,0,20,1,0,8,5,0,8,0,5,1,22,1,1,0,1,214,4,4,1,9,1,0,2,11,1,0,6,1,6,10,9,0,1
2020-04-06,26,7,0,6,5,4,14,16,2,86,10,2,7,5,13,3,3,3,8,1,7,18,22,4,3,0,1,7,5,0,18,21,2,58,1,6,14,0,2,6,0,14,0,28,1,0,0,2,555,6,5,5,11,11,1,11,11,2,0,13,10,4,8,11,2,0
2020-04-07,10,1,0,5,1,0,4,3,0,20,6,4,2,5,6,0,3,2,3,1,0,2,7,1,2,5,0,4,1,4,4,11,0,19,1,2,7,0,4,2,1,2,1,11,0,1,0,0,193,4,1,1,7,0,0,3,7,6,1,4,0,0,5,8,0,1
2020-04-08,1,0,0,0,0,1,0,1,0,5,1,1,0,0,8,1,0,0,2,0,1,0,4,0,0,0,0,0,0,0,2,0,0,5,0,2,1,0,0,0,0,0,0,6,0,1,1,0,387,0,2,0,0,0,0,1,2,0,1,2,3,0,2,1,2,0
2020-04-09,6,0,0,0,0,2,3,0,2,11,4,0,2,3,3,0,0,0,8,1,1,3,1,3,0,1,1,6,0,0,5,3,2,15,3,3,1,0,3,5,1,3,1,13,2,1,0,2,82,5,1,2,1,0,0,2,1,3,0,6,9,1,4,1,0,1
2020-04-10,4,2,214,1,5,4,0,2,0,6,0,1,2,2,1,0,0,1,6,2,1,6,3,1,0,0,0,3,0,2,1,1,0,8,0,0,3,0,0,5,0,1,0,4,0,0,0,0,117,4,1,2,7,0,1,5,0,0,0,2,1,1,6,2,0,1
2020-04-11,3,0,597,0,0,1,0,1,0,8,0,0,1,0,0,0,0,0,2,0,0,2,1,0,1,0,0,1,0,0,2,1,2,2,0,0,3,1,1,0,0,0,0,4,0,0,0,0,67,1,2,0,2,0,0,4,1,0,0,0,1,0,2,0,0,0
2020-04-12,0,0,596,0,2,4,1,0,0,10,0,1,0,1,0,1,2,2,2,1,0,0,2,1,1,0,0,2,0,2,2,1,1,0,0,1,3,0,0,0,1,0,0,3,2,0,0,1,37,4,1,0,3,0,1,3,4,2,0,3,0,3,0,2,1,0
2020-04-13,3,0,413,2,0,0,3,2,0,7,0,2,2,3,2,1,0,2,2,0,2,1,1,1,0,1,0,2,0,0,1,1,0,9,0,0,0,0,0,1,0,2,0,4,0,0,0,1,59,0,0,0,8,1,0,1,1,0,0,2,5,0,0,0,0,2
2020-04-14,6,0,384,0,0,0,1,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,4,0,1,1,2,0,10,1,0,1,0,0,2,1,2,1,1,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2020-04-15,3,0,393,0,12,0,0,2,0,2,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,2,0,1,2,0,0,0,0,0,0,9,0,1,0,3,38,1,3,4,2,0,0,0,0,0,1,0,1,0,1,2,0,0
2020-04-16,0,0,227,0,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,27,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
2020-04-17,0,0,305,1,3,0,0,4,0,9,1,0,2,2,3,3,0,1,2,0,0,2,3,0,0,1,0,0,0,0,5,0,1,4,0,0,1,0,0,1,0,0,0,6,0,1,0,0,51,2,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0
2020-04-18,7,0,328,0,0,3,3,2,0,4,1,1,3,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,2,0,2,0,2,1,0,0,0,0,0,0,2,0,0,0,0,38,2,0,3,2,0,0,3,3,0,1,0,0,0,0,2,0,0
2020-04-19,0,0,240,1,0,0,0,2,0,7,0,1,0,3,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,5,0,1,0,0,32,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0
2020-04-20,2,0,398,1,0,0,3,1,0,12,3,0,1,1,3,1,0,1,0,0,0,0,0,2,0,1,0,3,2,0,4,5,0,3,0,0,1,2,0,3,0,2,0,4,0,1,0,3,71,2,2,1,2,0,0,6,1,1,0,0,1,0,1,2,1,0
2020-04-21,1,0,550,0,3,3,0,0,0,10,0,0,2,1,0,0,0,2,2,0,0,1,4,2,1,0,0,1,1,0,6,1,0,15,0,0,2,0,0,1,0,0,0,13,0,1,0,1,78,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0
2020-04-22,3,0,475,0,5,4,1,2,0,8,0,0,0,3,0,1,0,2,0,0,5,1,2,0,0,1,1,1,0,0,6,8,1,8,2,2,2,1,1,1,4,4,0,4,0,0,0,0,85,1,2,4,1,0,1,2,6,6,0,1,0,0,1,5,0,0
2020-04-23,6,0,364,0,2,1,0,3,0,10,0,0,3,3,0,0,0,0,3,0,0,0,4,0,2,0,0,2,0,0,4,3,0,4,0,0,4,1,0,3,0,2,0,8,0,0,0,0,66,0,2,0,6,0,0,4,6,0,0,1,0,0,2,1,0,0
2020-04-24,2,2,422,0,8,1,2,3,0,14,1,0,0,2,4,5,0,1,5,1,0,2,4,1,5,1,1,2,0,2,3,1,0,8,0,0,0,0,4,3,2,4,0,13,0,3,0,0,63,1,1,0,1,0,1,0,3,2,0,0,6,1,4,4,1,0
2020-04-25,2,0,316,0,0,3,1,5,2,5,0,1,3,2,1,1,0,0,1,0,0,0,3,0,0,0,0,4,0,1,0,3,0,6,0,0,1,1,0,2,0,3,0,4,1,0,0,0,51,0,0,1,5,0,0,2,3,1,0,0,0,0,1,2,1,0
2020-04-26,2,1,318,0,2,0,0,1,0,11,0,0,1,0,3,0,0,1,0,1,1,2,4,0,0,0,0,0,1,1,8,1,0,1,0,0,1,2,0,0,0,3,0,6,0,0,0,1,49,2,1,0,4,0,0,1,3,2,0,1,2,1,2,2,0,0
2020-04-27,3,0,332,2,0,0,0,0,0,7,0,0,4,0,0,0,0,0,2,0,1,0,0,4,0,1,3,0,0,0,1,1,2,4,0,0,0,0,1,1,0,2,2,5,0,0,0,0,59,0,0,0,2,3,0,3,0,0,0,1,0,0,0,1,0,2
