date,Comilla,Sunamganj,Manikganj,Kishoreganj,Kushtia,Sirajganj,Jhenaidah,Rangamati,Chittagong,Nilphamari,Thakurgaon,Pabna,Rajshahi,Cox's Bazar,Maulvibazar,Sylhet,Tangail,Chuadanga,Bagerhat,Feni,Magura,Munshiganj,Chapainawabganj,Kurigram,Netrokona,Meherpur,Narsingdi,Pirojpur,Gopalganj,Mymensingh,Khulna,Jhalokati,Narayanganj,Lakshmipur,Khagrachhari,Noakhali,Narail,Natore,Chandpur,Patuakhali,Rajbari,Jaipurhat,Gazipur,Jamalpur,Sherpur,Unknown,Habiganj,Dhaka,Naogaon,Shariatpur,Faridpur,Dinajpur,Satkhira,Bandarban,Rangpur,Bogra,Madaripur,Brahmanbaria,Barguna,Gaibandha,Bhola,Barisal,Jessore,Lalmonirhat,Panchagarh
2020-04-03,1,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,0,3,1,2,3,0,0,1,3,0,2,0,0,20,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
2020-04-04,6,0,1,2,0,8,1,0,11,0,1,8,1,1,3,1,1,2,0,0,0,0,0,2,0,2,2,0,0,2,0,0,22,1,0,8,0,0,3,3,1,2,5,0,3,0,2,78,2,0,0,2,0,0,6,4,0,2,0,1,2,0,0,0,1
2020-04-05,6,4,2,2,1,3,1,0,8,0,3,4,0,7,1,0,2,0,2,0,0,0,0,0,1,1,5,2,0,4,5,1,6,1,0,3,0,1,5,10,1,0,14,1,1,0,0,69,0,0,0,0,0,0,1,6,1,2,0,2,0,1,2,0,0
2020-04-06,6,3,2,1,3,2,2,0,11,2,0,3,4,4,1,12,0,0,0,4,1,0,0,1,0,0,2,0,4,7,5,0,16,0,0,4,0,3,1,2,0,0,12,8,3,0,0,148,1,1,0,5,0,0,6,3,1,1,1,4,1,2,4,1,0
2020-04-07,2,0,0,0,0,0,0,0,11,0,1,3,2,0,1,1,0,0,1,1,0,2,0,1,0,1,1,1,0,0,3,0,9,0,0,1,0,0,0,0,0,0,1,2,0,0,0,62,1,0,1,1,2,0,6,1,1,0,0,1,2,2,1,0,0
2020-04-08,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,112,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
2020-04-09,1,0,1,0,1,0,1,0,1,1,0,0,1,2,0,0,2,0,0,1,0,0,0,0,0,0,3,0,0,3,1,0,10,1,1,0,0,0,0,0,1,0,4,1,0,0,1,37,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
2020-04-10,0,0,0,0,2,1,0,0,2,0,0,0,0,1,0,0,3,0,1,1,0,2,0,0,0,0,4,0,0,1,0,2,3,0,0,1,0,0,1,0,0,0,0,0,2,73,0,26,2,0,1,1,2,1,1,1,2,0,0,1,0,0,0,0,0
2020-04-11,1,0,0,1,0,1,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,200,0,11,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2020-04-12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,3,2,0,7,0,0,0,0,0,0,0,0,0,2,0,0,199,0,13,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2020-04-13,2,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,2,1,0,146,1,21,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2020-04-14,2,0,0,0,0,1,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1,1,1,1,0,0,1,1,138,0,12,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
2020-04-15,0,0,0,1,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,142,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
2020-04-16,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,94,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
2020-04-17,0,0,1,1,0,1,0,0,3,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,105,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
2020-04-18,1,0,0,0,2,1,0,0,1,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,96,0,9,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
2020-04-19,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,87,1,14,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-20,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,151,0,8,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0
