date,Comilla,Sunamganj,Manikganj,Kishoreganj,Kushtia,Sirajganj,Jhenaidah,Rangamati,Chittagong,Nilphamari,Thakurgaon,Pabna,Rajshahi,Cox's Bazar,Magura,Tangail,Maulvibazar,Chuadanga,Bagerhat,Feni,Sylhet,Munshiganj,Chapainawabganj,Kurigram,Netrokona,Meherpur,Narsingdi,Pirojpur,Gopalganj,Mymensingh,Khulna,Jhalokati,Narayanganj,Lakshmipur,Khagrachhari,Jamalpur,Narail,Natore,Chandpur,Noakhali,Rajbari,Jaipurhat,Gazipur,Patuakhali,Sherpur,Unknown,Habiganj,Dhaka,Naogaon,Satkhira,Faridpur,Dinajpur,Shariatpur,Bandarban,Rangpur,Bogra,Madaripur,Brahmanbaria,Barguna,Barisal,Gaibandha,Jessore,Bhola,Lalmonirhat,Panchagarh
2020-04-03,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,1,0,2,1,2,0,0,0,0,3,0,2,0,2,33,2,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
2020-04-04,5,1,1,2,6,8,0,0,22,2,1,6,2,1,1,4,6,1,1,5,2,0,0,0,0,1,0,1,0,2,4,0,19,0,0,1,0,0,3,3,4,1,8,0,0,0,2,94,2,1,1,1,1,0,3,4,0,0,0,1,1,1,0,0,0
2020-04-05,13,2,2,1,1,6,0,0,18,1,1,4,7,1,0,2,0,0,2,4,1,1,0,0,0,7,1,0,2,3,5,0,6,1,1,4,4,1,0,0,2,1,4,1,0,0,0,135,3,2,1,2,2,0,0,3,1,1,0,3,6,5,0,0,0
2020-04-06,8,1,5,3,4,4,2,0,25,9,1,11,8,2,0,4,1,1,0,4,8,3,1,1,0,0,3,1,1,5,5,0,15,1,1,1,1,2,3,7,0,0,13,4,0,0,1,275,3,4,1,8,2,0,4,5,0,6,0,5,2,3,2,0,0
2020-04-07,6,1,0,0,0,1,1,0,7,3,1,1,1,4,4,2,1,0,0,1,2,5,0,0,0,0,1,0,1,1,7,0,8,0,0,1,0,0,0,2,0,0,11,0,0,0,1,116,0,0,6,2,0,0,2,2,1,4,0,1,0,3,1,0,1
2020-04-08,1,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,5,0,0,0,0,3,0,0,0,0,161,0,0,0,1,0,0,2,1,0,0,0,2,0,0,0,0,0
2020-04-09,2,0,1,0,0,0,0,0,4,1,1,1,2,0,2,8,0,1,0,1,0,0,0,0,1,0,3,0,0,1,0,0,6,0,0,2,0,1,4,0,3,2,6,0,0,0,1,31,1,1,1,1,0,0,3,0,3,0,0,2,0,1,0,0,0
2020-04-10,5,1,0,2,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,1,2,3,0,0,0,0,4,1,0,0,2,0,1,1,0,1,0,0,2,0,0,0,5,0,0,118,0,39,2,1,3,1,0,1,0,0,2,2,0,0,1,2,0,0,1
2020-04-11,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,1,1,0,0,1,0,0,233,0,28,1,1,0,0,4,0,1,0,0,0,0,1,0,1,0,0,0
2020-04-12,0,0,1,0,0,0,2,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,2,2,0,2,0,0,0,1,0,0,1,0,0,1,0,0,235,0,16,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-04-13,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,2,0,4,0,0,0,0,1,3,0,0,0,3,0,0,205,0,18,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2020-04-14,4,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,152,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
