date,Comilla,Sunamganj,Manikganj,Kishoreganj,Kushtia,Jhenaidah,Sirajganj,Rangamati,Chittagong,Nilphamari,Thakurgaon,Pabna,Rajshahi,Cox's Bazar,Maulvibazar,Sylhet,Tangail,Feni,Bagerhat,Chapainawabganj,Chuadanga,Munshiganj,Magura,Kurigram,Netrokona,Meherpur,Narsingdi,Pirojpur,Gopalganj,Mymensingh,Khulna,Jhalokati,Narayanganj,Lakshmipur,Khagrachhari,Jamalpur,Natore,Noakhali,Chandpur,Narail,Patuakhali,Rajbari,Gazipur,Jaipurhat,Sherpur,Unknown,Habiganj,Dhaka,Naogaon,Satkhira,Shariatpur,Dinajpur,Faridpur,Bandarban,Rangpur,Bogra,Madaripur,Brahmanbaria,Barguna,Gaibandha,Barisal,Jessore,Bhola,Lalmonirhat,Panchagarh
2020-04-03,4,0,1,3,0,5,0,0,8,2,0,4,2,2,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,10,3,0,2,1,2,4,0,0,0,8,0,2,0,0,60,1,1,0,2,0,0,1,6,2,2,0,1,0,1,0,0,0
2020-04-04,10,0,3,2,7,1,13,0,30,3,1,6,4,4,1,13,10,4,5,2,3,1,0,1,2,1,4,1,0,7,6,0,23,6,0,6,0,8,10,2,3,4,16,0,4,0,3,244,2,1,1,5,0,1,8,11,1,4,3,4,3,3,1,0,1
2020-04-05,19,12,2,2,2,0,3,0,26,0,1,8,3,8,1,10,5,10,2,1,2,6,0,0,4,0,9,4,2,17,11,2,30,2,3,5,3,11,5,0,0,2,30,1,3,0,1,247,3,3,0,6,2,2,2,11,2,3,1,5,4,5,1,0,2
2020-04-06,16,5,5,8,2,8,7,0,71,4,8,8,13,6,6,25,9,9,3,4,5,2,5,2,6,0,11,9,4,22,30,2,56,3,2,15,5,18,6,2,4,1,29,1,3,0,3,658,12,13,5,15,4,0,16,9,2,13,2,6,11,21,1,2,0
2020-04-07,6,0,2,1,2,4,2,1,11,6,1,3,8,0,1,7,1,1,0,0,0,2,2,1,2,1,3,0,1,2,8,0,17,3,1,2,5,9,0,0,0,1,15,0,1,0,2,216,4,8,1,5,9,0,2,7,1,5,0,0,5,4,5,0,0
2020-04-08,0,0,0,0,2,0,0,0,5,0,0,0,0,2,1,1,6,3,0,0,0,1,0,0,1,0,0,0,0,5,2,0,2,0,0,0,0,0,1,0,0,0,6,0,0,0,0,335,0,2,0,0,2,0,1,1,0,4,0,2,1,0,0,0,0
2020-04-09,12,0,4,0,2,3,0,1,9,2,1,2,2,4,0,4,7,1,2,1,1,4,0,0,5,0,6,0,2,6,11,1,16,3,1,2,3,3,3,0,0,1,11,1,2,0,3,96,5,2,2,0,5,1,10,1,6,2,1,3,1,2,0,1,0
2020-04-10,4,3,1,2,3,0,0,0,17,0,2,1,4,1,0,3,7,5,4,0,1,4,0,0,0,0,4,1,1,0,6,0,2,0,0,0,5,4,4,0,0,0,8,0,0,215,0,111,3,1,0,2,4,0,7,2,2,2,0,1,7,7,0,0,1
2020-04-11,4,0,0,0,0,0,1,0,7,0,0,2,2,0,0,2,3,3,0,0,0,0,1,0,0,0,2,0,2,2,2,0,5,1,0,0,1,1,0,1,0,0,2,0,0,543,0,56,1,2,2,1,1,0,2,0,0,0,0,2,1,1,2,0,0
2020-04-12,3,0,0,0,1,2,0,0,8,1,1,0,2,0,1,1,0,1,1,1,0,0,2,0,1,1,2,0,1,5,3,3,1,0,0,0,2,0,3,1,0,0,5,1,0,559,1,47,2,1,0,0,0,0,1,5,2,2,0,1,2,0,2,1,0
2020-04-13,3,0,2,2,0,3,2,0,4,0,1,2,2,2,0,1,1,4,1,1,2,0,0,0,0,1,2,0,1,2,0,0,2,0,0,2,2,0,1,0,1,0,3,0,0,400,1,60,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,2
2020-04-14,7,0,1,0,0,0,1,0,4,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,3,0,1,0,0,0,10,0,0,2,0,1,1,2,1,0,1,0,0,308,0,33,0,4,0,0,0,0,3,1,0,0,1,1,0,0,0,0,0
2020-04-15,2,0,0,9,1,0,1,0,8,0,1,0,4,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,5,0,0,0,0,2,0,0,0,1,1,0,0,362,0,50,0,0,1,1,0,0,0,0,1,0,0,2,1,0,0,0,0
2020-04-16,0,0,0,1,1,0,0,0,6,0,1,0,3,1,0,1,0,0,0,3,0,0,1,0,0,0,1,1,0,3,2,0,1,0,0,2,0,1,0,0,0,1,2,0,0,184,0,23,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0
2020-04-17,0,1,1,2,0,1,3,0,15,0,0,4,2,1,2,2,4,2,0,2,1,1,0,0,1,1,0,0,0,1,1,1,5,0,0,0,0,0,1,0,0,0,3,0,1,302,0,41,1,1,0,0,0,0,0,2,0,1,0,0,5,0,0,0,0
2020-04-18,2,0,0,0,2,3,0,0,4,0,0,2,0,1,0,1,0,0,8,0,0,1,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,248,0,25,0,0,0,2,1,0,3,1,0,0,0,0,5,1,0,0,0
