date,Comilla,Sunamganj,Manikganj,Kishoreganj,Kushtia,Jhenaidah,Sirajganj,Rangamati,Chittagong,Nilphamari,Thakurgaon,Pabna,Rajshahi,Cox's Bazar,Magura,Maulvibazar,Munshiganj,Feni,Bagerhat,Sylhet,Tangail,Chapainawabganj,Chuadanga,Kurigram,Netrokona,Meherpur,Narsingdi,Pirojpur,Gopalganj,Mymensingh,Khulna,Jhalokati,Narayanganj,Lakshmipur,Khagrachhari,Jamalpur,Narail,Natore,Noakhali,Chandpur,Patuakhali,Jaipurhat,Gazipur,Rajbari,Sherpur,Unknown,Habiganj,Dhaka,Naogaon,Satkhira,Shariatpur,Dinajpur,Faridpur,Bandarban,Rangpur,Bogra,Madaripur,Brahmanbaria,Barguna,Barisal,Bhola,Gaibandha,Jessore,Lalmonirhat,Panchagarh
2020-04-03,6,1,0,2,0,7,2,0,13,3,0,2,1,0,1,1,1,6,1,1,3,0,0,0,0,0,1,0,0,3,2,0,17,0,0,2,1,1,1,0,0,1,10,0,1,0,1,109,2,1,2,4,0,0,0,3,10,2,0,7,1,1,1,0,1
2020-04-04,13,1,0,9,7,3,11,1,59,7,4,4,9,9,1,4,1,9,4,10,5,2,5,2,1,4,5,6,1,11,1,0,35,2,0,6,0,6,15,5,3,1,24,3,3,0,7,251,4,3,1,11,4,0,6,5,4,13,0,4,3,4,10,0,3
2020-04-05,16,8,6,1,3,0,6,0,47,1,0,7,10,12,2,1,5,6,2,23,8,1,0,0,3,1,14,3,2,6,19,0,30,0,1,7,5,2,12,9,2,2,25,1,0,0,1,268,4,0,0,4,3,0,12,20,4,5,1,7,7,4,7,0,2
2020-04-06,40,7,4,9,5,8,11,0,67,3,6,7,13,8,4,1,1,12,0,20,14,0,1,5,4,0,8,3,3,16,14,2,50,6,3,6,1,0,9,8,3,0,38,1,1,0,3,574,5,5,2,10,5,1,17,12,1,4,2,14,2,4,12,0,1
2020-04-07,6,1,4,1,2,3,5,0,24,0,1,4,7,3,6,0,3,4,1,6,1,0,1,2,0,2,2,2,5,4,18,1,16,2,0,2,1,2,4,3,1,0,23,1,1,0,2,248,2,2,1,5,3,0,9,6,6,2,1,13,0,0,6,0,1
2020-04-08,4,0,0,5,0,0,0,0,12,0,0,2,1,4,0,0,0,2,0,5,2,0,1,1,0,0,4,0,1,7,2,0,2,0,0,0,0,0,1,0,0,0,5,2,0,0,0,450,0,0,0,0,1,0,0,2,0,2,0,4,0,2,0,5,0
2020-04-09,4,0,4,1,1,4,1,0,12,4,1,2,2,1,1,0,0,1,0,6,14,0,1,0,0,0,4,3,2,7,5,4,14,2,1,4,1,3,1,5,1,2,9,0,1,0,2,120,4,4,0,2,5,0,0,4,5,0,0,1,2,5,1,0,0
2020-04-10,5,3,2,8,6,4,2,0,10,0,2,2,1,6,0,0,4,7,1,4,12,1,0,2,3,0,16,0,1,3,6,0,6,4,0,0,2,3,4,4,0,1,13,0,1,306,2,104,4,2,0,0,3,2,1,3,3,1,0,5,0,2,3,0,1
2020-04-11,4,0,0,0,0,0,2,0,12,0,0,1,1,0,0,1,0,3,0,0,4,0,0,1,0,0,4,1,0,1,1,2,7,1,0,3,0,1,2,3,0,0,5,0,0,687,4,63,1,2,0,2,0,0,1,2,0,0,0,1,0,1,4,0,0
2020-04-12,0,0,0,2,4,2,0,0,18,1,1,0,0,0,1,3,1,0,1,1,4,0,0,2,0,0,2,1,0,2,3,0,2,0,0,2,0,1,2,4,1,0,9,0,0,711,0,46,5,0,0,2,1,0,0,2,2,2,0,2,4,0,0,0,0
2020-04-13,2,0,2,1,0,1,0,0,10,0,0,1,3,2,0,0,0,2,0,0,3,1,1,0,0,0,1,0,0,2,5,0,3,0,0,1,0,1,1,1,0,0,3,0,0,558,1,46,2,0,0,0,0,0,1,1,0,3,0,0,0,0,1,0,0
2020-04-14,6,0,1,2,0,3,0,0,11,0,0,0,3,0,0,4,1,0,0,1,3,0,0,0,0,0,1,0,2,1,2,0,5,0,0,2,1,0,1,0,2,0,0,1,0,409,0,38,0,2,0,0,0,0,1,5,0,1,0,2,0,1,1,0,0
2020-04-15,4,0,0,5,0,6,2,0,5,3,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,2,0,1,3,0,0,5,0,2,0,2,0,1,1,0,1,2,0,0,524,3,36,1,0,0,2,1,0,0,4,0,1,1,1,0,0,1,0,0
2020-04-16,1,0,0,1,2,0,0,0,5,0,0,0,3,2,0,0,1,0,0,1,3,3,0,0,0,0,2,1,0,2,4,0,2,1,1,1,0,0,1,0,0,0,9,1,0,339,1,48,0,2,1,1,2,0,1,0,0,2,0,1,0,0,2,0,1
2020-04-17,2,0,1,3,0,1,4,0,10,2,0,4,2,2,0,0,0,2,0,4,2,2,1,0,1,1,0,0,0,5,1,2,6,1,0,0,1,0,0,6,0,1,9,0,0,411,0,62,0,1,0,1,0,0,3,4,0,1,0,1,0,0,0,0,0
2020-04-18,10,0,0,3,5,3,1,0,4,0,0,2,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,4,0,4,2,0,0,0,0,0,1,0,0,6,1,0,405,0,49,0,0,0,4,1,0,2,4,0,0,0,1,0,0,0,0,0
2020-04-19,2,0,0,1,2,0,5,0,5,0,0,0,0,1,0,0,1,0,2,1,1,0,0,0,1,0,0,0,0,2,0,0,4,0,0,0,1,0,1,0,0,0,6,0,0,295,0,41,2,2,0,4,0,0,4,0,0,0,0,0,1,0,5,0,0
2020-04-20,5,0,1,2,1,0,0,0,6,0,1,1,1,0,0,0,1,1,2,3,0,1,2,0,1,0,3,2,1,6,7,0,6,1,0,2,0,0,0,2,1,0,4,0,1,475,3,74,0,4,0,4,0,0,5,5,1,2,0,1,1,0,1,0,0
2020-04-21,2,0,1,5,0,1,2,0,14,1,0,3,8,1,0,2,3,2,1,6,8,0,0,0,0,0,1,2,3,3,1,0,9,2,0,0,1,1,3,0,0,0,13,0,1,671,0,101,0,0,0,5,0,0,1,1,0,2,1,2,0,1,0,1,0
2020-04-22,5,1,1,1,7,2,1,0,11,0,1,0,2,4,0,1,0,2,1,4,1,0,5,0,1,1,0,0,0,7,10,0,11,0,2,6,1,1,1,1,1,0,2,0,0,608,3,100,1,1,0,1,0,1,2,2,5,2,4,1,0,0,0,0,0
2020-04-23,5,0,1,5,0,3,2,0,9,0,0,0,2,1,0,0,3,2,0,4,2,0,0,4,0,0,4,0,1,0,5,0,4,0,0,4,0,0,2,3,0,0,11,0,0,482,1,87,0,2,0,1,0,0,2,6,0,2,0,2,0,0,1,1,0
2020-04-24,4,1,0,7,4,0,2,0,14,0,0,2,3,4,0,1,1,1,0,9,6,4,2,0,1,1,2,2,4,3,3,0,1,1,0,8,0,4,4,9,0,0,11,0,3,497,2,78,0,1,0,0,0,0,3,0,5,1,0,4,3,2,1,1,0
2020-04-25,5,1,1,0,2,2,2,0,5,0,1,6,1,0,0,0,1,0,0,4,2,1,0,0,0,1,2,0,0,1,2,0,6,0,0,4,1,0,2,1,0,1,3,0,1,385,2,53,1,0,0,1,0,0,1,0,0,4,0,0,0,0,0,1,0
2020-04-26,4,0,0,3,3,1,3,0,8,0,0,1,0,0,0,0,0,2,2,3,5,0,1,1,1,1,2,0,1,3,1,0,3,0,6,2,0,0,1,3,1,0,6,0,0,398,1,54,0,3,0,3,1,0,0,2,3,2,0,2,1,3,5,0,0
2020-04-27,3,0,1,2,5,0,0,0,5,0,0,3,0,1,1,1,1,2,0,2,3,0,0,0,0,2,0,0,0,4,1,0,5,0,0,0,2,0,0,1,0,0,7,2,1,317,5,56,0,2,0,0,2,0,4,1,0,2,1,0,0,1,5,0,0
2020-04-28,2,0,1,1,3,1,1,0,5,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,3,0,0,0,1,0,1,4,0,0,4,0,0,244,0,73,0,0,1,1,0,0,0,8,2,3,0,1,0,0,2,0,0
