date,Comilla,Sunamganj,Manikganj,Kishoreganj,Kushtia,Jhenaidah,Sirajganj,Rangamati,Chittagong,Nilphamari,Thakurgaon,Pabna,Rajshahi,Cox's Bazar,Chapainawabganj,Magura,Munshiganj,Feni,Bagerhat,Sylhet,Tangail,Chuadanga,Maulvibazar,Kurigram,Netrokona,Meherpur,Narsingdi,Pirojpur,Gopalganj,Mymensingh,Khulna,Jhalokati,Narayanganj,Lakshmipur,Khagrachhari,Noakhali,Narail,Natore,Chandpur,Jamalpur,Patuakhali,Jaipurhat,Gazipur,Rajbari,Sherpur,Unknown,Habiganj,Dhaka,Naogaon,Satkhira,Faridpur,Dinajpur,Shariatpur,Bandarban,Rangpur,Pabna Police line,Bogra,Madaripur,Barguna,Brahmanbaria,Barisal,Bhola,Gaibandha,Jessore,Lalmonirhat,Panchagarh
2020-04-03,9,1,1,2,1,5,3,0,14,1,1,4,3,3,2,4,3,3,1,3,3,0,0,5,4,1,3,1,0,6,7,0,17,2,0,6,1,4,11,0,0,2,12,0,3,0,5,138,2,2,2,6,1,0,0,0,8,4,1,4,2,2,2,0,2,1
2020-04-04,22,2,1,9,11,8,23,0,60,8,3,16,7,9,4,0,3,11,5,19,20,6,2,2,3,3,23,5,0,20,15,0,65,9,1,23,4,1,16,10,5,0,34,6,4,0,6,417,5,4,4,19,1,0,16,0,16,7,2,14,7,4,10,11,2,3
2020-04-05,32,13,7,7,5,3,7,0,67,3,3,15,11,13,4,1,10,12,2,20,10,4,6,1,13,0,21,6,9,22,27,2,52,5,3,20,3,2,18,10,3,2,39,2,3,0,4,407,11,6,11,6,0,1,13,0,17,5,2,9,9,7,9,7,1,5
2020-04-06,53,5,9,16,10,14,11,5,118,6,3,19,20,5,8,4,3,30,6,35,15,9,10,7,2,2,14,7,5,32,35,6,94,8,6,30,3,6,12,25,8,1,65,1,5,0,6,1007,23,13,16,15,10,4,27,0,27,3,4,21,27,4,16,28,2,0
2020-04-07,12,2,4,2,1,5,6,0,38,9,2,9,11,10,0,6,12,2,1,16,9,1,5,1,5,0,8,1,2,17,15,1,30,1,2,14,1,7,5,3,6,0,28,1,0,0,0,352,8,14,10,8,1,0,6,0,12,3,0,10,13,5,5,7,0,2
2020-04-08,3,0,0,3,1,0,1,1,10,0,1,2,0,13,0,0,2,1,0,4,3,1,0,0,2,0,0,0,1,6,4,0,11,1,0,1,0,2,0,1,1,0,10,0,2,0,0,692,1,4,4,0,2,0,3,0,6,0,0,6,4,0,2,4,0,0
2020-04-09,11,0,5,2,1,2,3,3,17,3,4,7,5,2,2,3,3,3,2,10,13,2,0,0,3,1,10,1,2,8,15,5,26,4,3,9,0,6,10,5,1,4,23,2,3,0,4,191,8,0,14,3,2,0,10,0,3,9,0,5,2,1,9,4,2,0
2020-04-10,9,7,3,13,6,0,3,0,24,1,4,1,6,2,0,0,3,9,7,6,11,4,1,0,3,1,16,2,4,7,4,2,12,1,0,5,1,4,7,3,0,1,11,0,3,403,3,178,4,3,9,7,1,2,4,0,2,3,0,4,9,2,2,7,1,1
2020-04-11,5,1,0,2,0,0,1,0,19,0,0,1,0,0,0,0,1,3,0,2,5,0,1,1,0,0,4,0,3,2,3,2,10,0,0,2,1,2,3,1,1,0,6,1,0,1093,0,93,3,0,1,4,1,0,2,0,1,0,1,0,4,0,3,7,0,0
2020-04-12,2,0,0,7,5,1,0,0,21,1,0,3,1,0,0,2,1,0,1,5,2,1,2,2,0,0,1,1,2,5,4,2,3,1,1,2,1,1,0,1,2,1,10,0,0,1035,2,83,4,1,0,4,1,0,3,0,8,3,1,5,7,2,1,0,1,0
2020-04-13,4,0,2,2,0,1,0,0,5,0,0,1,2,2,2,0,2,1,2,1,1,1,0,0,9,1,2,0,0,0,2,0,6,1,0,0,0,2,2,1,1,0,3,0,0,483,1,50,1,1,0,4,1,0,0,0,2,0,0,3,0,0,2,0,0,0
2020-04-14,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,87,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-15,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,80,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-04-16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-17,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,53,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-18,1,0,0,0,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,87,0,4,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2020-04-19,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,55,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-04-20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,83,0,11,0,0,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0
2020-04-21,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,78,0,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2020-04-22,0,0,0,1,0,0,1,0,4,0,0,0,0,1,2,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,97,0,15,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2020-04-23,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,1,0,0,1,0,0,0,3,0,0,112,0,18,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-04-24,1,1,0,0,0,0,3,0,2,0,0,0,1,3,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,83,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
2020-04-25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,86,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
